ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
QURE,uniQure N.V.,1,0.82,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.220524,,0,0.691919,1,0.308081,87,0,specific_days,9,neutral,high_vol|drawdown_data_missing,L,tier_a_dev|sponsor_confirmed|high_risk,smart_money_score:+26.8;clinical_score:-21.8;financial_score:+11.9,tier=A;reason=high_opt+catalyst_near;cat_days=87;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 100394000.0, ""cash_total"": 597056000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 71.36553977329322, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 9}",mid|near_31_90|nonpos,0.1,,0.4464,0,1,-0.4866,0.0,9,9,buying,2.4945,elite_9,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,501.73,0.85,1,0,1.0,0,1.0,0,87,False,specific_days,-0.205125,price_history,,9,1.0792,price_history,,,series_too_short,36.5719,1.3016,,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.8013581488933601609657947686,50,45.56250000000000000000000000,83.0,62.50,34.46280991735537190082644628,68.10227272727272727272727273,34.7421,-0.3972,2.0,87,6,1.0,0.4843,1,1,0.0,0.3,0.6,cns,-0.4109,uncrowded,1.0,51,0.1,0.779476,0.7704,27.26,0.569869,0.176
EYPT,"EyePoint, Inc.",2,0.49,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.39083,,0,0.681818,1,0.318182,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|runway_short,financial_score:-35.6;smart_money_score:+31.4;momentum_score:+9.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 175063000.0, ""cash_total"": 204022000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 13.985045383661882, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 4}",late|none|pos,0.08388261016949153,,-0.2344,,0,-0.4676,1.4043,4,4,buying,0.4887,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,660.09,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.121609,price_history,,4,0.8639,price_history,,,series_too_short,34.0683,0.7147,,,late,small,sev2,drug_developer,morningstar,,,drawdown,1,0.8716017145505097312326227989,50,41.25000000000000000000000000,72.0,38.17,34.92622918397215300027688778,5,33.912,-0.4327,3.0,,4,1.0,0.0,0,0,0.0,0.4,0.55,ophthalmology,0.2878,moderate,1.0,90,0.08388261016949153,0.60917,0.2772,11.98,0.085153,-1.3712
CHRS,"Coherus Oncology, Inc.",3,0.2,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.368996,,0,0.671717,1,0.328283,,0,no_upcoming,9,neutral,drawdown_data_missing,S,cost_haircut_<=2000bps,financial_score:+17.2;clinical_score:-14.8;catalyst_score:-8.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 118797000.0, ""cash_total"": 191663000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 18.31919011700611, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 1}",late|none|pos,0.08388261016949153,,0.9289,0,1,-0.4676,1.4043,1,1,buying,-0.7147,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1725.6,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.122305,price_history,,1,1.2871,price_history,,,series_too_short,44.5627,0.9928,,,late,micro,none,drug_developer,morningstar,,,drawdown,1,0.7863618983355825461088618983,50,41.25000000000000000000000000,55.5,80.11,34.92622918397215300027688778,66.98113207547169811320754717,33.9155,-0.4326,3.0,,5,1.0,0.0,0,0,0.0,0.3,0.6,autoimmune,-0.4109,uncrowded,1.0,85,0.08388261016949153,0.631004,0.3345,23.34,0.504367,0.0109
NMRA,"Neumora Therapeutics, Inc.",4,0.1,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.727074,,0,0.60101,1,0.39899,,0,no_upcoming,9,neutral,drawdown_data_missing,XS,runway_short|cost_haircut_<=2000bps,financial_score:-21.6;smart_money_score:+12.4;momentum_score:+7.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 158485000.0, ""cash_total"": 171525000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 11.473010064043915, ""stage_bucket"": ""mid"", ""surv_score"": ""0.0"", ""tier1_count"": 1}",mid|none|pos,-0.006836380952380952,,-0.7138,763,1,-0.0143,2.3044,1,1,neutral,-0.7147,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=2000bps,1324.22,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,1,,,series_too_short,,no_price_series,,0.9459,,,mid,small,sev2,drug_developer,morningstar,,,drawdown,1,0.7153062296459712154638092237,50,41.25000000000000000000000000,55.0,50,45.96074380165289256198347108,21.01469237832874196510560147,44.9154,0.038,2.0,763,1,0.0,0.0017,0,0,0.0,0.4,0.5,other,0.7537,highly_crowded,1.0,167,-0.006836380952380952,0.272926,-0.604,12.55,0.106987,-1.2427
VERA,"Vera Therapeutics, Inc.",5,0.82,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.762009,,0,0.651515,1,0.348485,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+19.4;clinical_score:-13.9;catalyst_score:-10.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 171110000.0, ""cash_total"": 497389000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 34.88205248086027, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 5}",mid|none|pos,-0.006836380952380952,,-0.7158,706,1,-0.3334,1.6707,5,5,buying,0.8899,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,439.3,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,5,,,series_too_short,,no_price_series,,0.7858,,,mid,mid,none,drug_developer,morningstar,,,drawdown,1,0.7463214247853281034665535885,50,41.25000000000000000000000000,71.5,50,38.19214876033057851239669421,59.40909090909090909090909091,37.1468,-0.2943,2.0,706,1,0.0,0.0028,0,0,0.0,0.4,0.55,infectious_disease,0.7537,highly_crowded,1.0,175,-0.006836380952380952,0.237991,-0.7128,32.61,0.652838,0.393
PVLA,"Palvella Therapeutics, Inc.",6,0.82,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.740175,,0,0.641414,1,0.358586,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+25.6;financial_score:-15.7;clinical_score:-8.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 20080000.0, ""cash_total"": 63567000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 37.98824701195219, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",mid|none|pos,-0.006836380952380952,,-0.5859,197,1,-0.3334,1.6707,4,4,buying,0.4887,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,491.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.068487,price_history,,4,1.7274,price_history,,,series_too_short,36.7966,,,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.7772841994970662196144174350,50,41.25000000000000000000000000,72.0,50,38.19214876033057851239669421,30.71768824609733700642791552,37.6692,-0.272,2.0,197,1,0.0,0.1937,0,0,0.0,0.4,0.5,other,-3.4388,uncrowded,1.0,170,-0.006836380952380952,0.259825,-0.6439,25.11,0.530568,0.0767
ABSI,Absci Corporation,7,0.41,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.29476,,0,0.742424,1,0.257576,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-21.9;smart_money_score:+20.0;catalyst_score:-5.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 63743000.0, ""cash_total"": 152475000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.70432831840359, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.08388261016949153,,-0.2445,,0,-0.8901,0.5651,3,3,buying,0.0876,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1036.19,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.9218,,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8089663629992992291520672740,50,41.25000000000000000000000000,66.5,69.35,24.63846366836754875202721411,50.07692307692307692307692307,24.3372,-0.8423,3.0,,6,1.0,0.1054,0,0,0.0,0.4,0.95,oncology,0.7537,highly_crowded,1.0,68,0.08388261016949153,0.70524,0.5395,18.44,0.329694,-0.4408
RCKT,"Rocket Pharmaceuticals, Inc.",8,0.82,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.744541,,0,0.732323,1,0.267677,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-21.9;smart_money_score:+19.1;catalyst_score:-5.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 155174000.0, ""cash_total"": 222758000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.070450597731686, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 3}",mid|none|pos,-0.006836380952380952,,-0.6875,270,1,-0.8743,0.5964,3,3,buying,0.0876,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,956.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.103332,price_history,,3,1.1807,price_history,,,series_too_short,40.7402,0.6262,,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7990011210762331838565022422,50,41.25000000000000000000000000,66.0,69.64,25.02295684113865932047750229,52.45454545454545454545454545,23.9763,-0.8577,2.0,270,5,1.0,0.0284,0,0,0.0,0.3,0.5,other,-1.5755,uncrowded,1.0,171,-0.006836380952380952,0.255459,-0.6574,21.59,0.434498,-0.1649
CELC,Celcuity Inc.,9,0.97,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.687773,,0,0.752525,1,0.247475,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+34.0;clinical_score:-26.2;catalyst_score:-7.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",mid|none|pos,-0.006836380952380952,,-0.7498,684,1,-0.9666,0.4133,6,6,buying,1.291,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.339752,price_history,,6,0.0915,price_history,,,series_too_short,28.608,,,,mid,mid,none,drug_developer,morningstar,,,drawdown,1,0.7815456943011122577686045178,50,41.25000000000000000000000000,83.0,19.64,22.77777777777777777777777778,47.96745867768595041322314050,22.4311,-0.9239,2.0,1333,5,1.0,0.0009,0,0,0.0,0.3,0.95,oncology,-0.4109,uncrowded,1.0,158,-0.006836380952380952,0.312227,-0.4895,19.29,0.377729,-0.3115
CLDX,"Celldex Therapeutics, Inc.",10,0.82,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.373362,,0,0.762626,1,0.237374,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,clinical_score:-27.4;smart_money_score:+23.2;financial_score:+9.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.08388261016949153,,0.9156,0,1,-1.0417,0.2641,4,4,buying,0.4887,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.132608,price_history,,4,0.4444,price_history,,-0.2393,,50.7692,0.4801,,,late,small,none,drug_developer,morningstar,,,,0,0.8764675685050294831772459244,50,41.25000000000000000000000000,71.5,70.43,20.94873620505517977928088288,57.92307692307692307692307693,22.2654,-0.9309,3.0,,44,1.0,0.4994,1,0,0.0,0.4,0.95,oncology,-0.4109,uncrowded,1.0,86,0.08388261016949153,0.626638,0.323,22.91,0.491266,-0.0219
ADCT,ADC Therapeutics SA,11,0.41,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.670306,,0,0.772727,1,0.227273,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-26.7;smart_money_score:+19.2;financial_score:+10.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 110051000.0, ""cash_total"": 234738000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.035925450397038, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",mid|none|pos,-0.006836380952380952,,0.4066,0,1,-1.0569,0.2339,3,3,buying,0.0876,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1472.59,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.7505,,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.7778496798112571621166161105,50,41.25000000000000000000000000,66.5,87.50,20.57851239669421487603305786,58.25000000000000000000000000,21.2721,-0.9734,2.0,79,10,1.0,0.5533,1,1,0.0,0.3,0.95,oncology,0.7537,highly_crowded,1.0,154,-0.006836380952380952,0.329694,-0.4408,20.22,0.395197,-0.2658
