ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,de_sort_total_adj,de_sort_contrib_clinical,de_sort_contrib_coinvest,de_sort_contrib_institutional,de_sort_contrib_calendar_alpha,de_sort_contrib_alpha_modifier,de_sort_contrib_catalyst_bonus
CELC,Celcuity Inc.,1,1.02,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.938596,,0,0.93871,1,0.06129,52,1,specific_days,9,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,clinical_score:-41.8;smart_money_score:+36.2;financial_score:+11.3,tier=A;reason=high_opt+catalyst_near;cat_days=52;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_31_90|nonpos,0.00031880246913580245,,0.6989,0,1,-1.6682,0.0,6,6,buying,1.1662,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,52,True,specific_days,-0.095571,price_history,,6,0.4675,price_history,,-0.349036,,40.691,,-0.144801,-0.204235,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,45.26,42.70794844444444444444444444,83.0,15.25,5.050650714807100001780341469,58.13333333333333333333333334,5.5254,-1.6129,3.0,1026,7,1.0,0.7813,1,1,0.0,0.3,0.95,oncology,-0.4844,uncrowded,1.0,268,0.00031880246913580245,0.061404,-1.5431,13.67,0.152632,-1.0252,1.6e-05,0.0,0.0,0.0,0.0,1.6e-05,0.0
DNLI,Denali Therapeutics Inc.,2,0.52,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.780702,,0,0.641935,1,0.358065,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,financial_score:+27.4;clinical_score:-16.4;catalyst_score:-11.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 314062000.0, ""cash_total"": 848204000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 32.40904025319841, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.007144706586826348,,0.7652,0,1,-0.3331,1.8662,3,3,buying,0.0,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.31,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.142462,price_history,,3,1.0131,price_history,,-0.293042,,45.6719,0.5691,-0.144801,-0.148241,late,mid,none,drug_developer,morningstar,,,,0,0.8798122047716101186908044599,44.88,41.25000000000000000000000000,60.5,46.45,36.21232352365183642222578291,80.0,35.0978,-0.3651,3.0,901,11,1.0,0.0577,0,0,0.0,0.4,0.6,cns,-0.4844,uncrowded,1.0,223,0.007144706586826348,0.219298,-0.7746,35.03,0.692982,0.5043,2.799657,2.7993,0.0,0.0,0.0,0.000357,0.0
CLDX,"Celldex Therapeutics, Inc.",3,0.52,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.773684,,0,0.654839,1,0.345161,,0,no_upcoming,9,headwind,deep_drawdown,M,sponsor_confirmed|momentum_headwind,smart_money_score:+20.4;financial_score:+19.1;clinical_score:-15.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.007144706586826348,,0.7651,0,1,-0.3626,1.8004,4,4,buying,0.3887,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.152727,price_history,,4,0.7459,price_history,,-0.393422,,39.7475,0.4801,-0.144801,-0.248621,late,small,none,drug_developer,morningstar,,,,0,0.8764361862733712693067007316,37.19,41.25000000000000000000000000,71.5,64.89,35.52226317007602058074738734,70.23880597014925373134328358,36.8577,-0.2909,3.0,,57,1.0,1.7154,2,2,0.0,0.4,0.95,oncology,-0.4844,uncrowded,1.0,221,0.007144706586826348,0.226316,-0.751,29.24,0.584211,0.2127,2.700957,2.7006,0.0,0.0,0.0,0.000357,0.0
CRNX,"Crinetics Pharmaceuticals, Inc.",4,0.52,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.777193,,0,0.693548,1,0.306452,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,financial_score:+26.4;clinical_score:-22.2;smart_money_score:+17.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 285021000.0, ""cash_total"": 1092291000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 45.98781142442136, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",late|none|pos,0.007144706586826348,,0.7594,0,1,-0.5368,1.4126,5,5,buying,0.7775,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,459.18,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.165746,price_history,,5,0.7343,price_history,,-0.323305,,37.3842,0.6688,-0.144801,-0.178504,late,mid,none,drug_developer,morningstar,,,,0,0.8739267504488330341113105925,43.88,41.25000000000000000000000000,71.5,28.72,31.45667539033986718652637576,80.0,31.714,-0.5079,3.0,134,7,1.0,0.715,0,1,0.0,0.5,0.95,oncology,0.6955,highly_crowded,1.0,222,0.007144706586826348,0.222807,-0.7627,26.11,0.538596,0.0969,2.119257,2.1189,0.0,0.0,0.0,0.000357,0.0
INBX,"Inhibrx Biosciences, Inc.",5,0.87,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.352632,,0,0.680645,1,0.319355,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+22.7;financial_score:-16.2;clinical_score:-10.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 99672000.0, ""cash_total"": 153088000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 18.431013725018058, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",mid|none|pos,0.030078054054054053,,0.2268,0,1,-0.4516,1.6023,3,3,buying,0.0,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,811.15,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.7023,-0.144801,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7778532089468360121389232326,50,41.25000000000000000000000000,66.5,44.59,33.44521604938271604938271605,27.56500771604938271604938271,32.6807,-0.4671,2.0,753,5,1.0,0.0116,0,0,0.0,0.4,0.95,oncology,0.6955,highly_crowded,1.0,101,0.030078054054054053,0.647368,0.3782,17.54,0.324561,-0.455,1.603804,1.6023,0.0,0.0,0.0,0.001504,0.0
SVRA,"Savara, Inc.",6,0.87,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.896491,,0,0.725806,1,0.274194,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,momentum_score:+30.8;financial_score:-25.6;clinical_score:-20.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.007144706586826348,,0.7515,0,1,-0.7605,0.9147,3,3,buying,0.0,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.33066,price_history,,3,1.4946,price_history,,-0.048969,,51.7373,0.6811,-0.144801,0.095832,late,small,sev1,drug_developer,morningstar,,,,0,0.8537484194564329872856642949,77.23,41.25000000000000000000000000,66.5,58.51,26.23528992860830707329665830,20.82567263186554788247815647,25.9767,-0.75,3.0,83,9,1.0,0.7511,1,1,0.0,0.4,0.5,respiratory,0.6955,highly_crowded,1.0,256,0.007144706586826348,0.103509,-1.2618,12.55,0.121053,-1.1697,1.372407,1.37205,0.0,0.0,0.0,0.000357,0.0
KALV,"KalVista Pharmaceuticals, Inc.",7,0.87,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.836842,,0,0.732258,1,0.267742,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,momentum_score:+20.5;clinical_score:-19.8;smart_money_score:+9.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 126985000.0, ""cash_total"": 243497000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.010308304130408, ""stage_bucket"": ""late"", ""surv_score"": ""1.0"", ""tier1_count"": 2}",late|none|pos,0.007144706586826348,,0.751,0,1,-0.8149,0.7936,2,2,selling,-0.3887,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,753.69,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.143849,price_history,,2,0.6415,price_history,,-0.347826,,44.6274,0.6376,-0.144801,-0.203025,late,small,sev1,drug_developer,morningstar,,,,0,0.8797695576251455180442374854,65.20,41.25000000000000000000000000,54.5,59.93,24.96555039256529402339368690,37.78267864656815425360758397,24.0067,-0.8331,3.0,114,4,1.0,0.5807,0,1,0.0,0.4,0.55,ophthalmology,0.6955,highly_crowded,1.0,239,0.007144706586826348,0.163158,-0.9816,20.97,0.429825,-0.1768,1.190757,1.1904,0.0,0.0,0.0,0.000357,0.0
URGN,UroGen Pharma Ltd.,8,0.87,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.907018,,0,0.745161,1,0.254839,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|runway_short,momentum_score:+35.6;financial_score:-33.2;smart_money_score:+25.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 124119000.0, ""cash_total"": 153829000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.872404708384696, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",late|none|pos,0.007144706586826348,,0.7481,0,1,-0.8687,0.6738,4,4,buying,0.3887,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,785.74,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.354656,price_history,,4,0.0925,price_history,,-0.26811,,42.415,0.7699,-0.144801,-0.123309,late,small,sev2,drug_developer,morningstar,,,,0,0.8225052705551651440618411806,82.04,41.25000000000000000000000000,72.0,72.70,23.71005358827823176485249871,13.24566223608326526571124477,22.5902,-0.8929,3.0,1607,13,1.0,0.0002,0,0,0.0,0.3,0.95,oncology,0.6955,highly_crowded,1.0,259,0.007144706586826348,0.092982,-1.3226,4.73,0.008772,-2.3751,1.011057,1.0107,0.0,0.0,0.0,0.000357,0.0
REPL,"Replimune Group, Inc.",9,0.87,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.373684,,0,0.712903,1,0.287097,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,clinical_score:-18.0;financial_score:+10.8;smart_money_score:+8.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 224183000.0, ""cash_total"": 269137000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.12718492467587, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 5}",mid|none|pos,0.030078054054054053,,-1.029,710,1,-0.7308,0.9808,5,5,selling,0.7775,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,964.73,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.069836,price_history,,5,0.8754,price_history,,-0.322448,,46.1982,0.5897,-0.144801,-0.177647,mid,small,sev1,drug_developer,morningstar,,,,0,0.8014295339696799550814149354,47.93,41.25000000000000000000000000,53.0,66.22,26.92901234567901234567901234,55.75000000000000000000000000,25.8092,-0.757,2.0,710,7,1.0,0.0057,0,0,0.0,0.3,0.95,oncology,0.6955,highly_crowded,1.0,107,0.030078054054054053,0.626316,0.3221,19.09,0.373684,-0.3221,0.982304,0.9808,0.0,0.0,0.0,0.001504,0.0
FDMT,"4D Molecular Therapeutics, Inc.",10,0.11,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.345614,,0,0.73871,1,0.26129,,0,no_upcoming,9,headwind,deep_drawdown,XS,momentum_headwind|cost_haircut_<=2000bps,financial_score:+23.3;clinical_score:-21.4;smart_money_score:+8.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 137633000.0, ""cash_total"": 305063000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 26.597952525920384, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 1}",mid|none|pos,0.030078054054054053,,-1.0311,846,1,-0.8206,0.781,1,1,neutral,-0.7775,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1082.73,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.178037,price_history,,1,1.1556,price_history,,-0.384525,,34.8595,0.8446,-0.144801,-0.239724,mid,small,none,drug_developer,morningstar,,,,0,0.7762887760857304004512126340,40.46,41.25000000000000000000000000,55.0,68.92,24.83410493827160493827160494,69.50000000000000000000000000,23.0775,-0.8723,2.0,1180,7,1.0,0.0004,0,0,0.0,0.3,0.5,respiratory,0.2236,moderate,1.0,99,0.030078054054054053,0.654386,0.3972,27.41,0.563158,0.159,0.782504,0.781,0.0,0.0,0.0,0.001504,0.0
ZBIO,"Zenas BioPharma, Inc.",11,0.52,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.917544,,0,0.770968,1,0.229032,,0,no_upcoming,9,neutral,high_vol|drawdown_data_missing,M,sponsor_confirmed|high_risk,clinical_score:-25.2;smart_money_score:+20.7;financial_score:+4.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 119919000.0, ""cash_total"": 290884000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.10804793235434, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.007144706586826348,,0.7377,0,1,-1.0006,0.3804,3,3,buying,0.0,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,681.58,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,1.5048,-0.144801,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8089584306398879028491359178,50,41.25000000000000000000000000,66.5,37.94,20.63362352899286083070732967,50.53731343283582089552238806,19.1691,-1.0372,3.0,797,5,1.0,0.0918,0,0,0.0,0.4,0.6,autoimmune,0.6955,highly_crowded,1.0,262,0.007144706586826348,0.082456,-1.3887,16.38,0.254386,-0.6608,0.570957,0.5706,0.0,0.0,0.0,0.000357,0.0
