ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,de_sort_total_adj,de_sort_contrib_clinical,de_sort_contrib_coinvest,de_sort_contrib_institutional,de_sort_contrib_calendar_alpha,de_sort_contrib_alpha_modifier,de_sort_contrib_catalyst_bonus
CELC,Celcuity Inc.,1,1.01,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.903846,,0,0.862179,1,0.137821,150,0,specific_days,9,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,clinical_score:-42.0;smart_money_score:+30.9;momentum_score:+19.8,tier=A;reason=high_opt+catalyst_mid;cat_days=150;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_91_180|pos,-0.004671705882352941,,0.6707,0,1,-1.3965,1.0,6,6,buying,1.1579,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,150,False,specific_days,0.360037,price_history,,6,0.5817,price_history,,0.0,,63.945,,-0.060149,0.060149,late,mid,none,drug_developer,morningstar,,,,0,0.8124607582709490461241246076,71.83,45.56250000000000000000000000,83.0,16.21,10.05486968449931412894375857,49.86961772736819995799201849,9.6161,-1.4449,3.0,879,8,1.0,0.4537,0,1,0.0,0.3,0.95,oncology,-0.4872,uncrowded,1.0,259,-0.004671705882352941,0.096154,-1.3038,15.56,0.256993,-0.6526,1.499766,1.5,0.0,0.0,0.0,-0.000234,0.0
ADCT,ADC Therapeutics SA,2,0.7,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.963287,,0,0.900641,1,0.099359,38,1,specific_days,9,tailwind,high_beta|overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk|cost_haircut_<=2000bps,momentum_score:+44.9;clinical_score:-44.7;smart_money_score:+14.9,tier=A;reason=high_opt+catalyst_near;cat_days=38;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 110051000.0, ""cash_total"": 234738000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.035925450397038, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",late|near_31_90|nonpos,-0.037963891304347824,,0.663,0,1,-1.5274,-1.0,3,3,buying,-0.0054,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=2000bps,1472.59,0.7,1,0,1.0,0,1.0,0,38,True,specific_days,2.332211,price_history,,3,3.2395,price_history,,-0.265306,,82.4625,0.7505,-0.060149,-0.205157,late,small,none,drug_developer,morningstar,,,,0,0.8089258911819887429643527205,96.55,37.45907600000000000000000000,66.5,90.00,6.951684194482548392013412591,50.60000000000000000000000000,6.868,-1.5611,3.0,757,19,1.0,0.4574,2,0,0.0,0.3,0.95,oncology,0.6937,highly_crowded,1.0,276,-0.037963891304347824,0.036713,-1.7902,13.94,0.190559,-0.8758,-0.001898,0.0,0.0,0.0,0.0,-0.001898,0.0
CLDX,"Celldex Therapeutics, Inc.",3,0.86,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.76049,,0,0.605769,1,0.394231,393,0,specific_days,9,neutral,,L,catalyst_far_lift|sponsor_confirmed,smart_money_score:+18.2;clinical_score:-16.1;catalyst_score:-7.8,tier=B;reason=high_opt+catalyst_far;cat_days=393;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|far_271_540|pos,0.0633864705882353,,0.7235,0,1,-0.2507,1.7505,4,4,buying,0.3824,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,393,False,specific_days,-0.002215,price_history,,4,0.8226,price_history,,-0.240274,,39.9344,0.4801,-0.060149,-0.180125,late,small,none,drug_developer,morningstar,,,,0,0.8764550731367541211980496866,52.97,45.56250000000000000000000000,71.5,65.86,37.21536351165980795610425240,59.34285714285714285714285714,38.4425,-0.2262,3.0,,57,1.0,0.9221,2,1,0.0,0.4,0.95,oncology,-0.4872,uncrowded,1.0,218,0.0633864705882353,0.23951,-0.7079,28.76,0.606643,0.2706,2.628919,2.62575,0.0,0.0,0.0,0.003169,0.0
CRNX,"Crinetics Pharmaceuticals, Inc.",4,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.096154,,0,0.61859,1,0.38141,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-22.5;momentum_score:+19.0;catalyst_score:-17.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 285021000.0, ""cash_total"": 1092291000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 45.98781142442136, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",late|none|pos,0.1,,0.7221,0,1,-0.2793,1.6891,5,5,buying,0.7701,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,459.18,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.010324,price_history,,5,0.8741,price_history,,-0.022152,,55.3031,0.6688,-0.060149,0.037997,late,mid,none,drug_developer,morningstar,,,,0,0.8739125269461077844311377246,78.04,41.25000000000000000000000000,71.5,27.24,36.53728259581025927619434707,67.67391304347826086956521740,37.3681,-0.2716,3.0,1215,7,1.0,0.7623,1,1,0.0,0.5,0.95,oncology,0.6937,highly_crowded,1.0,28,0.1,0.903846,1.3038,27.35,0.578671,0.1985,2.53865,2.53365,0.0,0.0,0.0,0.005,0.0
ABSI,Absci Corporation,5,0.42,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.008741,,0,0.657051,1,0.342949,,0,no_upcoming,9,tailwind,high_beta,M,sponsor_confirmed|momentum_tailwind|high_risk|cost_haircut_<=2000bps,momentum_score:+38.9;clinical_score:-25.1;catalyst_score:-16.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 63743000.0, ""cash_total"": 152475000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.70432831840359, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.1,,-0.5608,,0,-0.4479,1.327,3,3,buying,-0.0054,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1036.19,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,1.828904,price_history,,3,1.8414,price_history,,-0.075157,,65.1683,0.9218,-0.060149,-0.015008,late,small,none,drug_developer,morningstar,,,,0,0.8089145740436517249471954940,96.55,41.25000000000000000000000000,66.5,81.03,32.53992446950837440092126878,51.32857142857142857142857143,31.7457,-0.5093,3.0,,12,1.0,0.0,0,0,0.0,0.4,0.95,oncology,0.6937,highly_crowded,1.0,3,0.1,0.991259,2.3764,20.31,0.435315,-0.1629,1.9955,1.9905,0.0,0.0,0.0,0.005,0.0
FATE,"Fate Therapeutics, Inc.",6,0.55,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.882867,,0,0.612179,1,0.387821,819,0,specific_days,9,tailwind,overbought_rsi,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind|cost_haircut_>2000bps,momentum_score:+39.2;clinical_score:-20.1;catalyst_score:-11.7,tier=B;reason=high_opt+catalyst_far;cat_days=819;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 106084000.0, ""cash_total"": 203657000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.037253497228612, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 2}",mid|far_271_540|pos,0.003098142857142857,,0.1791,0,1,-0.2507,1.7505,2,2,buying,-0.3932,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,819,False,specific_days,1.142487,price_history,,2,1.7567,price_history,,-0.050946,,76.9488,0.8890,-0.060149,0.009203,mid,micro,none,drug_developer,morningstar,,,,0,0.7794034090909090909090909091,96.55,45.56250000000000000000000000,60.5,90.00,37.21536351165980795610425240,46.70096021947873799725651579,36.4458,-0.3106,2.0,,18,1.0,0.0448,0,0,0.0,0.3,0.95,oncology,-0.4872,uncrowded,1.0,253,0.003098142857142857,0.117133,-1.1894,24.85,0.54021,0.101,1.750655,1.7505,0.0,0.0,0.0,0.000155,0.0
STRO,"Sutro Biopharma, Inc.",7,0.7,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.88986,,0,0.637821,1,0.362179,1062,0,specific_days,9,tailwind,deep_drawdown|deep_drawdown_rel_xbi,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind|runway_short|cost_haircut_<=2000bps,financial_score:-40.7;momentum_score:+30.4;smart_money_score:+20.8,tier=B;reason=high_opt+catalyst_far;cat_days=1062;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 150796000.0, ""cash_total"": 167594000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 13.336746332793973, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 3}",mid|far_271_540|pos,0.003098142857142857,,-0.0002,13,1,-0.3361,1.5671,3,3,buying,-0.0054,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,short,<=2000bps,1967.55,0.7,1,0,1.0,0,1.0,0,1062,False,specific_days,0.266705,price_history,,3,1.6206,price_history,,-0.385034,,54.8758,1.0735,-0.060149,-0.324885,mid,small,sev2,drug_developer,morningstar,,,,0,0.7779025160780774004287487307,76.07,45.56250000000000000000000000,66.5,61.63,35.19128181679622008840115837,5,34.7268,-0.3833,2.0,571,4,1.0,0.327,1,0,0.0,0.3,0.95,oncology,0.6937,highly_crowded,1.0,255,0.003098142857142857,0.11014,-1.2258,6.95,0.047203,-1.6726,1.567255,1.5671,0.0,0.0,0.0,0.000155,0.0
SVRA,"Savara, Inc.",8,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.326923,,0,0.682692,1,0.317308,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,financial_score:-25.4;smart_money_score:+24.7;momentum_score:+14.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.1,,0.7096,0,1,-0.6381,0.9186,3,3,buying,-0.0054,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.102925,price_history,,3,0.8577,price_history,,-0.041502,,55.9029,0.6811,-0.060149,0.018647,late,small,sev1,drug_developer,morningstar,,,,0,0.8537560065313739211569862375,56.64,41.25000000000000000000000000,66.5,58.28,28.03044928787955765550644380,16.34750566893424036281179138,26.5362,-0.7296,3.0,1213,9,1.0,0.0001,0,0,0.0,0.4,0.5,respiratory,0.6937,highly_crowded,1.0,94,0.1,0.673077,0.4484,14.78,0.215035,-0.7891,1.3829,1.3779,0.0,0.0,0.0,0.005,0.0
INBX,"Inhibrx Biosciences, Inc.",9,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.166084,,0,0.650641,1,0.349359,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,financial_score:-28.8;smart_money_score:+26.0;momentum_score:+9.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 99672000.0, ""cash_total"": 153088000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 18.431013725018058, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",mid|none|pos,0.1,,0.1709,0,1,-0.4202,1.3866,3,3,buying,-0.0054,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,811.15,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.7023,-0.060149,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7778532089468360121389232326,50,41.25000000000000000000000000,66.5,33.72,33.19768327998780673677793020,11.75147928994082840236686389,32.4034,-0.4815,2.0,606,5,1.0,0.0394,0,0,0.0,0.4,0.95,oncology,0.6937,highly_crowded,1.0,48,0.1,0.833916,0.9698,15.28,0.23951,-0.7079,1.3916,1.3866,0.0,0.0,0.0,0.005,0.0
KALV,"KalVista Pharmaceuticals, Inc.",10,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.187063,,0,0.689103,1,0.310897,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,momentum_score:+34.8;clinical_score:-19.4;financial_score:-17.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 126985000.0, ""cash_total"": 243497000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.010308304130408, ""stage_bucket"": ""late"", ""surv_score"": ""1.0"", ""tier1_count"": 2}",late|none|pos,0.1,,0.709,0,1,-0.6647,0.8615,2,2,selling,-0.3932,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,753.69,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.560475,price_history,,2,0.8882,price_history,,-0.034876,,69.8834,0.6376,-0.060149,0.025273,late,small,sev1,drug_developer,morningstar,,,,0,0.8797695576251455180442374854,81.67,41.25000000000000000000000000,54.5,61.03,27.39978661789361377838744094,29.39510204081632653061224489,25.9055,-0.7562,3.0,879,4,1.0,0.002,0,0,0.0,0.4,0.55,ophthalmology,0.6937,highly_crowded,1.0,54,0.1,0.812937,0.8888,18.37,0.386364,-0.2888,1.29725,1.29225,0.0,0.0,0.0,0.005,0.0
MLYS,"Mineralys Therapeutics, Inc.",11,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.243007,,0,0.701923,1,0.298077,,0,no_upcoming,9,tailwind,deep_drawdown|deep_drawdown_rel_xbi|overbought_rsi,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+36.2;financial_score:-32.2;clinical_score:-18.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 104528000.0, ""cash_total"": 217597000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 24.9805219654064, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 7}",late|none|pos,0.1,,-0.5307,312,1,-0.7437,0.6919,7,7,buying,1.5457,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,521.81,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.114845,price_history,,7,1.4914,price_history,,-0.364681,,72.2872,0.6287,-0.060149,-0.304532,late,mid,none,drug_developer,morningstar,,,,0,0.8306050036083714216983401491,60.79,41.25000000000000000000000000,80.0,17.59,25.52812071330589849108367628,11.62765175383322831337954212,24.7339,-0.8058,3.0,312,3,0.6667,0.2094,0,0,0.0,0.4,0.85,cardiovascular,0.6937,highly_crowded,1.0,70,0.1,0.756993,0.6967,18.13,0.365385,-0.3441,1.04285,1.03785,0.0,0.0,0.0,0.005,0.0
