ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,catalyst_days,catalyst_mode,mom_state,risk_flags,size_band,size_reasons,archetype,eligible,composite_rank,composite_score
NMRA,"Neumora Therapeutics, Inc.",1,2.89,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.568966,0.625683,10,specific_days,tailwind,overbought_rsi,M,tier_a_dev|momentum_tailwind|runway_short|cost_haircut_<=2000bps,drug_developer,1,182,0.09254273684210526
PVLA,"Palvella Therapeutics, Inc.",2,5.85,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.575235,0.631148,10,specific_days,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,drug_developer,1,184,0.09254273684210526
RNA,"Avidity Biosciences, Inc.",3,4.13,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.249216,0.620219,163,specific_days,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|runway_short,drug_developer,1,80,0.1
ALMS,Alumis Inc.,4,6.88,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.020376,0.60929,132,specific_days,tailwind,high_vol,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,drug_developer,1,7,0.1
PRAX,"Praxis Precision Medicines, Inc",5,6.88,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.233542,0.647541,102,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,drug_developer,1,75,0.1
ZBIO,"Zenas BioPharma, Inc.",6,3.51,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.305643,0.653005,102,specific_days,headwind,high_vol|high_beta|deep_drawdown|deep_drawdown_rel_xbi,M,tier_a_dev|sponsor_confirmed|momentum_headwind|high_risk,drug_developer,1,98,0.1
SYRE,"Spyre Therapeutics, Inc.",7,5.85,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.280564,0.614754,43,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,90,0.1
PHVS,Pharvaris N.V.,8,2.89,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.230408,0.674863,41,specific_days,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,drug_developer,1,74,0.1
KURA,"Kura Oncology, Inc.",9,5.85,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.180251,0.70765,163,specific_days,headwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,drug_developer,1,58,0.1
VRDN,"Viridian Therapeutics, Inc.",10,3.51,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.597179,0.756831,10,specific_days,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|runway_short,drug_developer,1,191,0.09254273684210526
SION,"Sionna Therapeutics, Inc.",11,3.51,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.816614,0.942623,102,specific_days,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|runway_short,drug_developer,1,261,0.0646411489361702
PEPG,PepGen Inc.,12,4.82,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.81348,0.920765,163,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,drug_developer,1,260,0.0646411489361702
ORKA,"Oruka Therapeutics, Inc.",13,5.85,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.810345,0.860656,102,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,259,0.0646411489361702
KOD,Kodiak Sciences Inc,14,5.85,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.691223,0.969945,163,specific_days,tailwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,221,0.0743638577586207
FDMT,"4D Molecular Therapeutics, Inc.",15,1.45,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.678683,0.915301,102,specific_days,headwind,,S,tier_a_dev|momentum_headwind|cost_haircut_<=2000bps,drug_developer,1,217,0.0743638577586207
DNTH,"Dianthus Therapeutics, Inc.",16,5.85,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.672414,0.953552,131,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,215,0.0743638577586207
COGT,"Cogent Biosciences, Inc.",17,6.88,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.666144,0.838798,102,specific_days,tailwind,high_vol,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,drug_developer,1,213,0.0743638577586207
CGON,"CG Oncology, Inc.",18,5.85,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.663009,0.871585,102,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,212,0.0743638577586207
CELC,Celcuity Inc.,19,6.88,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.65674,0.844262,131,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,210,0.0743638577586207
CLYM,"Climb Bio, Inc.",20,4.82,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.083072,0.724044,41,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,drug_developer,1,27,0.1
