ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
CELC,Celcuity Inc.,1,1.03,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.850352,,0,0.951299,1,0.048701,178,0,specific_days,9,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,clinical_score:-40.9;smart_money_score:+37.1;financial_score:+8.6,tier=A;reason=high_opt+catalyst_mid;cat_days=178;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_91_180|nonpos,0.021306694444444448,,0.732,0,1,-1.7335,0.0,6,6,buying,1.1627,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,178,False,specific_days,-0.153524,price_history,,6,0.2282,price_history,,-0.309065,,45.1637,,-0.100316,-0.208749,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,41.42,45.56250000000000000000000000,83.0,14.55,5,54.50000000000000000000000000,4.31,-1.6646,3.0,1152,7,1.0,0.2734,0,1,0.0,0.3,0.95,oncology,-0.4815,uncrowded,1.0,242,0.021306694444444448,0.149648,-1.0379,14.04,0.160211,-0.9936
RVMD,"Revolution Medicines, Inc.",2,1.03,B,mod_opt+catalyst_near,B,mod_opt+catalyst_near,,0.987676,,0,0.548701,1,0.451299,26,1,specific_days,9,neutral,,L,sponsor_confirmed,smart_money_score:+23.2;catalyst_score:-17.3;clinical_score:-10.0,tier=B;reason=mod_opt+catalyst_near;cat_days=26;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 897741000.0, ""cash_total"": 2025679000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.077016645112565, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",mid|near_0_30|pos,-0.013908884615384615,,0.2947,0,1,-0.0392,1.9443,8,8,buying,1.9396,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,174.63,1.0,0,0,1.0,0,1.0,0,26,True,specific_days,-0.001432,price_history,,8,1.2402,price_history,,-0.191093,,59.1202,0.4254,-0.100316,-0.090777,mid,large,none,drug_developer,morningstar,,,,0,0.8553846190250828206341694274,52.85,36.45884444444444444444444444,77.0,10.00,43.74276947839645893063729189,58.87234042553191489361702128,43.2013,-0.0255,2.0,425,6,1.0,0.26,1,0,0.0,0.3,0.95,oncology,0.6973,highly_crowded,1.0,281,-0.013908884615384615,0.012324,-2.2469,33.26,0.674296,0.4518
RCKT,"Rocket Pharmaceuticals, Inc.",3,0.88,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.955986,,0,0.646104,1,0.353896,689,0,specific_days,9,tailwind,,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind,clinical_score:-15.5;smart_money_score:+13.9;catalyst_score:-6.5,tier=B;reason=high_opt+catalyst_far;cat_days=689;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 155174000.0, ""cash_total"": 222758000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.070450597731686, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 3}",mid|far_271_540|pos,-0.0010510344827586206,,0.2846,0,1,-0.353,1.3295,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=1000bps,956.37,0.85,1,0,1.0,0,1.0,0,689,False,specific_days,0.079202,price_history,,3,1.3307,price_history,,-0.077329,,67.6287,0.6262,-0.100316,0.022987,mid,small,sev1,drug_developer,morningstar,,,,0,0.7990524420436641908620301598,55.95,45.56250000000000000000000000,66.0,75.00,36.56606810522609526683768422,56.19148936170212765957446809,35.8025,-0.3373,2.0,638,8,1.0,0.0909,0,0,0.0,0.3,0.95,oncology,-1.6603,uncrowded,1.0,272,-0.0010510344827586206,0.044014,-1.7059,27.07,0.547535,0.1194
ELDN,"Eledon Pharmaceuticals, Inc.",4,0.57,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.941901,,0,0.892857,1,0.107143,393,0,specific_days,9,tailwind,,L,catalyst_far_lift|momentum_tailwind|cost_haircut_>2000bps,clinical_score:-32.8;momentum_score:+11.2;smart_money_score:+10.1,tier=B;reason=high_opt+catalyst_far;cat_days=393;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 48250000.0, ""cash_total"": 93401000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.229264248704663, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 1}",mid|far_271_540|nonpos,0.00620435593220339,,-0.513,87,1,-1.53,-0.9762,1,1,neutral,-0.7797,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,393,False,specific_days,-0.066589,price_history,,1,0.9025,price_history,,-0.309278,,59.5774,,-0.100316,-0.208962,mid,micro,sev1,drug_developer,morningstar,,,,0,0.7592904001749398644216050733,53.66,45.56250000000000000000000000,52.5,77.94,9.651928977415622956591720737,50.82978723404255319148936170,9.1246,-1.4617,2.0,87,5,1.0,0.5278,1,1,0.0,0.3,0.55,metabolic,-0.4815,uncrowded,1.0,268,0.00620435593220339,0.058099,-1.5709,16.38,0.265845,-0.6254
XENE,Xenon Pharmaceuticals Inc.,5,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.839789,,0,0.613636,1,0.386364,,0,no_upcoming,9,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+24.2;clinical_score:-14.3;catalyst_score:-11.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 197637000.0, ""cash_total"": 462268000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.067699874011446, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|none|pos,0.03298423170731707,,0.8034,0,1,-0.2677,1.4967,8,8,buying,1.9396,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,519.29,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.104163,price_history,,8,0.5911,price_history,,0.0,,76.0844,0.341,-0.100316,0.100316,late,mid,none,drug_developer,morningstar,,,,0,0.8874476502082093991671624033,60.31,41.25000000000000000000000000,77.0,41.42,38.51804745405903249857462392,47.02777777777777777777777778,38.9712,-0.2038,3.0,11,12,1.0,1.9841,1,2,0.0,0.6,0.6,cns,0.6973,highly_crowded,1.0,239,0.03298423170731707,0.160211,-0.9936,30.19,0.614437,0.2909
VIR,"Vir Biotechnology, Inc.",6,0.53,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.832746,,0,0.678571,1,0.321429,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,smart_money_score:+16.0;clinical_score:-11.2;catalyst_score:-3.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 391781000.0, ""cash_total"": 460938000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.118234421781557, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|pos,0.03298423170731707,,0.795,0,1,-0.4733,1.0938,2,2,buying,-0.3912,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,599.02,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.083961,price_history,,2,0.5288,price_history,,-0.212219,,49.2394,0.7493,-0.100316,-0.111903,late,small,sev1,drug_developer,morningstar,,,,0,0.8609482288510836634817058961,43.68,41.25000000000000000000000000,61.0,77.24,33.81493989055060937873095235,45.19835069444444444444444444,34.1288,-0.4079,3.0,70,14,1.0,3.395,4,4,0.0,0.4,0.55,infectious_disease,0.6973,highly_crowded,1.0,237,0.03298423170731707,0.167254,-0.9651,28.45,0.56162,0.1551
URGN,UroGen Pharma Ltd.,7,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.822183,,0,0.782468,1,0.217532,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|runway_short,financial_score:-32.3;momentum_score:+28.9;smart_money_score:+27.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 124119000.0, ""cash_total"": 153829000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.872404708384696, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",late|none|pos,0.03298423170731707,,0.7802,0,1,-0.9772,0.1068,4,4,buying,0.3857,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,785.74,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.327094,price_history,,4,1.4738,price_history,,-0.170749,,55.4633,0.7699,-0.100316,-0.070433,late,small,sev2,drug_developer,morningstar,,,,0,0.8225052705551651440618411806,73.00,41.25000000000000000000000000,72.0,72.01,22.29322300678820129721405981,11.79340277777777777777777778,21.1796,-0.9536,3.0,1733,12,1.0,0.0001,0,0,0.0,0.3,0.95,oncology,0.6973,highly_crowded,1.0,234,0.03298423170731707,0.177817,-0.9237,4.42,0.008803,-2.3738
SVRA,"Savara, Inc.",8,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.81162,,0,0.756494,1,0.243506,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,financial_score:-23.7;smart_money_score:+23.6;momentum_score:+19.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.03298423170731707,,0.783,0,1,-0.8631,0.3303,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.142691,price_history,,3,0.3823,price_history,,-0.280142,,62.1615,0.6811,-0.100316,-0.179826,late,small,sev1,drug_developer,morningstar,,,,0,0.8537484194564329872856642949,62.71,41.25000000000000000000000000,66.5,58.58,24.90285513793254681812201220,19.24742296006944444444444444,23.5259,-0.8547,3.0,209,9,1.0,0.2628,0,0,0.0,0.4,0.5,respiratory,0.6973,highly_crowded,1.0,231,0.03298423170731707,0.18838,-0.8839,14.72,0.202465,-0.8328
DNLI,Denali Therapeutics Inc.,9,0.53,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.705986,,0,0.698052,1,0.301948,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,financial_score:+26.5;clinical_score:-18.8;smart_money_score:+10.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 314062000.0, ""cash_total"": 848204000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 32.40904025319841, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.03298423170731707,,0.7935,0,1,-0.5658,0.9126,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.31,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.108918,price_history,,3,1.0255,price_history,,-0.311705,,60.5137,0.5691,-0.100316,-0.211389,late,mid,none,drug_developer,morningstar,,,,0,0.8798122047716101186908044599,42.05,41.25000000000000000000000000,60.5,43.66,31.69982798025427734651014332,77.00000000000000000000000000,32.3057,-0.4847,3.0,83,11,1.0,0.9488,2,1,0.0,0.4,0.6,cns,-0.4815,uncrowded,1.0,201,0.03298423170731707,0.294014,-0.5417,32.40,0.649648,0.3844
CRNX,"Crinetics Pharmaceuticals, Inc.",10,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.702465,,0,0.762987,1,0.237013,,0,no_upcoming,9,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind,clinical_score:-31.9;financial_score:+22.7;smart_money_score:+15.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 285021000.0, ""cash_total"": 1092291000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 45.98781142442136, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",late|none|pos,0.03298423170731707,,0.7825,0,1,-0.9062,0.2459,5,5,buying,0.7742,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,459.18,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.120744,price_history,,5,0.9518,price_history,,-0.000894,,78.5667,0.6688,-0.100316,0.099422,late,mid,none,drug_developer,morningstar,,,,0,0.8739125269461077844311377246,63.87,41.25000000000000000000000000,71.5,22.76,23.91693346783035831761764835,78.50000000000000000000000000,25.0701,-0.7897,3.0,66,6,1.0,1.1147,1,1,0.0,0.5,0.95,oncology,0.6973,highly_crowded,1.0,200,0.03298423170731707,0.297535,-0.5315,23.43,0.498239,-0.0044
CLDX,"Celldex Therapeutics, Inc.",11,0.53,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.698944,,0,0.665584,1,0.334416,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,smart_money_score:+20.9;financial_score:+16.6;clinical_score:-16.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.03298423170731707,,0.7962,0,1,-0.4422,1.1549,4,4,buying,0.3857,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.194124,price_history,,4,0.9566,price_history,,-0.298334,,47.3484,0.4801,-0.100316,-0.198018,late,small,none,drug_developer,morningstar,,,,0,0.8764361862733712693067007316,38.55,41.25000000000000000000000000,71.5,66.79,34.52777412296731624831269584,67.25000000000000000000000000,35.8265,-0.3363,3.0,,57,1.0,0.9435,2,1,0.0,0.4,0.95,oncology,-0.4815,uncrowded,1.0,199,0.03298423170731707,0.301056,-0.5214,29.09,0.575704,0.1909
