ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,de_sort_total_adj,de_sort_contrib_clinical,de_sort_contrib_coinvest,de_sort_contrib_institutional,de_sort_contrib_calendar_alpha,de_sort_contrib_alpha_modifier,de_sort_contrib_catalyst_bonus
NUVB,Nuvation Bio Inc.,1,0.78,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.888316,,0,0.804348,1,0.195652,131,0,specific_days,9,neutral,high_vol|deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|high_risk,clinical_score:-32.5;financial_score:+31.3;smart_money_score:+5.0,tier=A;reason=high_opt+catalyst_mid;cat_days=131;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 143694000.0, ""cash_total"": 549045000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 44.273359540368915, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 6}",late|near_91_180|pos,0.0036783396226415096,,0.6471,0,1,-1.1441,1.0,6,6,selling,1.1353,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=1000bps,551.15,0.85,1,0,1.0,0,1.0,0,131,False,specific_days,-0.148224,price_history,,6,0.8313,price_history,,-0.274559,,44.7692,1.2485,-0.012183,-0.262376,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,46.65,45.56250000000000000000000000,53.0,53.62,15.47776518014613252708490803,79.26530612244897959183673469,15.0515,-1.2139,3.0,292,12,1.0,0.6127,0,1,0.0,0.4,0.95,oncology,0.6892,highly_crowded,1.0,259,0.0036783396226415096,0.111684,-1.2176,17.16,0.310997,-0.493,1.500184,1.5,0.0,0.0,0.0,0.000184,0.0
CELC,Celcuity Inc.,2,0.92,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.78866,,0,0.841615,1,0.158385,114,0,specific_days,9,neutral,,L,tier_a_dev|sponsor_confirmed,clinical_score:-38.4;smart_money_score:+33.1;financial_score:+10.5,tier=A;reason=high_opt+catalyst_near;cat_days=114;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_91_180|nonpos,0.014485913978494622,,0.637,0,1,-1.3113,-1.0,6,6,buying,1.1353,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,114,False,specific_days,0.03521,price_history,,6,0.8276,price_history,,-0.196759,,53.3797,,-0.012183,-0.184576,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,49.08,45.56250000000000000000000000,83.0,16.78,11.50833018392542202066011590,60.40816326530612244897959184,11.5457,-1.3622,3.0,676,8,1.0,0.5931,1,1,0.0,0.3,0.95,oncology,-0.4975,uncrowded,1.0,230,0.014485913978494622,0.21134,-0.8018,16.06,0.286942,-0.5623,0.000724,0.0,0.0,0.0,0.0,0.000724,0.0
ABSI,Absci Corporation,3,0.1,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.266323,,0,0.636646,1,0.363354,,0,no_upcoming,9,headwind,high_beta|deep_drawdown_rel_xbi,XS,sponsor_confirmed|momentum_headwind|high_risk|cost_haircut_<=2000bps,smart_money_score:+17.7;clinical_score:-16.3;financial_score:+11.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 63743000.0, ""cash_total"": 152475000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.70432831840359, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.07958971428571429,,-0.6119,,0,-0.4272,1.7254,3,3,buying,-0.0239,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1036.19,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.292195,price_history,,3,2.2639,price_history,,-0.318147,,60.2446,0.9218,-0.012183,-0.305964,late,small,none,drug_developer,morningstar,,,,0,0.8089242139840450492726419521,43.02,41.25000000000000000000000000,66.5,81.91,32.49307130259511211892164272,60.68493150684931506849315068,31.6039,-0.5136,3.0,,12,1.0,0.0,0,0,0.0,0.4,0.95,oncology,0.6892,highly_crowded,1.0,78,0.07958971428571429,0.733677,0.624,21.59,0.45189,-0.1209,2.592079,2.5881,0.0,0.0,0.0,0.003979,0.0
KALV,"KalVista Pharmaceuticals, Inc.",4,0.47,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.383162,,0,0.642857,1,0.357143,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,smart_money_score:+12.2;clinical_score:-10.4;financial_score:-3.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 126985000.0, ""cash_total"": 243497000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.010308304130408, ""stage_bucket"": ""late"", ""surv_score"": ""1.0"", ""tier1_count"": 2}",late|none|pos,0.07958971428571429,,0.6799,0,1,-0.4538,1.6604,2,2,selling,-0.4103,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,753.69,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.08539,price_history,,2,1.3479,price_history,,-0.212594,,46.2665,0.6376,-0.012183,-0.200411,late,small,sev1,drug_developer,morningstar,,,,0,0.8797717560805306644943558711,44.52,41.25000000000000000000000000,54.5,62.83,31.86224489795918367346938776,39.20756447947290506870165343,30.2731,-0.5699,3.0,510,4,1.0,0.0321,0,0,0.0,0.4,0.55,ophthalmology,0.6892,highly_crowded,1.0,112,0.07958971428571429,0.616838,0.2972,23.95,0.503436,0.0086,2.494579,2.4906,0.0,0.0,0.0,0.003979,0.0
GOSS,"Gossamer Bio, Inc.",5,0.38,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.352234,,0,0.649068,1,0.350932,,0,no_upcoming,9,tailwind,high_beta|deep_drawdown|deep_drawdown_rel_xbi,M,sponsor_confirmed|momentum_tailwind|high_risk|cost_haircut_<=2000bps,smart_money_score:+34.4;clinical_score:-17.4;financial_score:-15.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 122952000.0, ""cash_total"": 180224000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.589693538942026, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 6}",late|none|pos,0.07958971428571429,,0.6798,0,1,-0.4803,1.5956,6,6,buying,1.1353,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1384.72,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.245688,price_history,,6,1.9207,price_history,,-0.398013,,50.6885,0.8648,-0.012183,-0.38583,late,micro,sev1,drug_developer,morningstar,,,,0,0.8153980015717974626698102616,54.11,41.25000000000000000000000000,83.0,90.00,31.23456790123456790123456790,33.38151927437641723356009070,30.3454,-0.5669,3.0,461,7,1.0,0.0337,0,0,0.0,0.4,0.95,oncology,0.6892,highly_crowded,1.0,103,0.07958971428571429,0.647766,0.3793,17.79,0.331615,-0.4355,2.397379,2.3934,0.0,0.0,0.0,0.003979,0.0
MLYS,"Mineralys Therapeutics, Inc.",6,0.47,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.400344,,0,0.680124,1,0.319876,,0,no_upcoming,9,headwind,deep_drawdown_rel_xbi,M,sponsor_confirmed|momentum_headwind,smart_money_score:+40.1;financial_score:-23.8;clinical_score:-11.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 104528000.0, ""cash_total"": 217597000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 24.9805219654064, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 7}",late|none|pos,0.07958971428571429,,-0.2361,109,1,-0.6105,1.2769,7,7,buying,1.5218,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,521.81,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.29101,price_history,,7,1.4469,price_history,,-0.281115,,50.7478,0.6287,-0.012183,-0.268932,late,mid,none,drug_developer,morningstar,,,,0,0.8306063522617901828681424447,34.05,41.25000000000000000000000000,80.0,18.09,28.14342403628117913832199547,16.11374890092091258272016289,28.3042,-0.6532,3.0,109,3,0.6667,1.1367,0,2,0.0,0.4,0.85,cardiovascular,0.6892,highly_crowded,1.0,117,0.07958971428571429,0.599656,0.2525,19.75,0.410653,-0.2259,1.919329,1.91535,0.0,0.0,0.0,0.003979,0.0
URGN,UroGen Pharma Ltd.,7,0.23,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.445017,,0,0.686335,1,0.313665,,0,no_upcoming,9,headwind,deep_drawdown_rel_xbi,S,sponsor_confirmed|momentum_headwind|runway_short,smart_money_score:+33.5;financial_score:-26.4;clinical_score:-11.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 124119000.0, ""cash_total"": 153829000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.872404708384696, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",late|none|pos,0.07958971428571429,,0.6724,0,1,-0.6617,1.1516,4,4,buying,0.3625,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,785.74,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.071265,price_history,,4,0.8598,price_history,,-0.26746,,39.2986,0.7699,-0.012183,-0.255277,late,small,sev2,drug_developer,morningstar,,,,0,0.8225032197634937360964758225,40.28,41.25000000000000000000000000,72.0,73.36,26.92901234567901234567901234,12.17510060257292383394841642,25.7651,-0.7606,3.0,384,14,1.0,0.0649,0,0,0.0,0.3,0.95,oncology,0.6892,highly_crowded,1.0,130,0.07958971428571429,0.554983,0.1383,6.30,0.02921,-1.8925,1.731379,1.7274,0.0,0.0,0.0,0.003979,0.0
INBX,"Inhibrx Biosciences, Inc.",8,0.47,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.620275,,0,0.630435,1,0.369565,,0,no_upcoming,9,headwind,drawdown_data_missing,M,sponsor_confirmed|momentum_headwind,financial_score:-27.6;smart_money_score:+27.0;clinical_score:-6.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 99672000.0, ""cash_total"": 153088000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 18.431013725018058, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",mid|none|pos,0.04232428571428572,,0.1355,0,1,-0.4263,1.7278,3,3,buying,-0.0239,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,811.15,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.216522,price_history,,3,1.7497,price_history,,,series_too_short,55.8022,0.7023,-0.012183,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7778256456524190819893988948,45.13,41.25000000000000000000000000,66.5,40.24,32.51606978879706152433425161,11.85884444444444444444444444,32.0401,-0.4952,2.0,403,7,1.0,0.2141,1,0,0.0,0.4,0.95,oncology,0.6892,highly_crowded,1.0,181,0.04232428571428572,0.379725,-0.3062,14.95,0.218213,-0.7782,1.729916,1.7278,0.0,0.0,0.0,0.002116,0.0
SVRA,"Savara, Inc.",9,0.47,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.434708,,0,0.692547,1,0.307453,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,smart_money_score:+26.8;financial_score:-17.8;clinical_score:-13.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.07958971428571429,,0.672,0,1,-0.687,1.0895,3,3,buying,-0.0239,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.134512,price_history,,3,1.1588,price_history,,-0.218247,,50.5122,0.6811,-0.012183,-0.206064,late,small,sev1,drug_developer,morningstar,,,,0,0.8537560065313739211569862375,42.47,41.25000000000000000000000000,66.5,60.20,26.32653061224489795918367346,21.91067742540814411709513980,25.2013,-0.7845,3.0,1010,8,1.0,0.0007,0,0,0.0769,0.4,0.5,respiratory,0.6892,highly_crowded,1.0,127,0.07958971428571429,0.565292,0.1644,15.52,0.238832,-0.7101,1.638229,1.63425,0.0,0.0,0.0,0.003979,0.0
RNA,"Avidity Biosciences, Inc.",10,0.92,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.417526,,0,0.698758,1,0.301242,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|runway_short,financial_score:-43.4;momentum_score:+38.5;smart_money_score:+36.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 650441000.0, ""cash_total"": 382517000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 7.0570643609489565, ""stage_bucket"": ""late"", ""surv_score"": ""-2.0"", ""tier1_count"": 11}",late|none|pos,0.07958971428571429,,0.6716,0,1,-0.7374,0.9662,11,11,buying,3.0674,elite_11,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=400bps,298.2,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.388788,price_history,,11,1.5244,price_history,,-0.09597,,49.5802,0.7513,-0.012183,-0.083787,late,mid,sev2,drug_developer,morningstar,,,,0,0.8751604872251931075460487225,87.30,41.25000000000000000000000000,85,34.54,25.13101536911060720584530109,5.401111111111111111111111112,24.3891,-0.8189,3.0,708,5,1.0,0.1619,0,0,0.0,0.4,0.75,rare_disease,-0.4975,uncrowded,1.0,122,0.07958971428571429,0.582474,0.2082,8.98,0.056701,-1.5831,1.453279,1.4493,0.0,0.0,0.0,0.003979,0.0
STRO,"Sutro Biopharma, Inc.",11,0.19,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.984536,,0,0.673913,1,0.326087,859,0,specific_days,9,neutral,high_beta|overbought_rsi,S,catalyst_far_lift|sponsor_confirmed|runway_short|high_risk|cost_haircut_<=2000bps,financial_score:-34.3;smart_money_score:+26.8;momentum_score:+12.8,tier=B;reason=high_opt+catalyst_far;cat_days=859;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 150796000.0, ""cash_total"": 167594000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 13.336746332793973, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 3}",mid|far_271_540|pos,-0.03464584615384615,,0.1239,0,1,-0.5866,1.3354,3,3,buying,-0.0239,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,short,<=2000bps,1967.55,0.7,1,0,1.0,0,1.0,0,859,False,specific_days,-0.130329,price_history,,3,1.9104,price_history,,-0.113274,,70.1206,1.0735,-0.012183,-0.101091,mid,small,sev2,drug_developer,morningstar,,,,0,0.7778256456524190819893988948,52.52,45.56250000000000000000000000,66.5,69.51,28.71074380165289256198347107,5.401111111111111111111111112,27.5468,-0.6853,2.0,251,6,1.0,0.1941,0,0,0.0,0.3,0.95,oncology,0.6892,highly_crowded,1.0,287,-0.03464584615384615,0.015464,-2.158,7.58,0.046392,-1.6809,1.333668,1.3354,0.0,0.0,0.0,-0.001732,0.0
