ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,de_sort_total_adj,de_sort_contrib_clinical,de_sort_contrib_coinvest,de_sort_contrib_institutional,de_sort_contrib_calendar_alpha,de_sort_contrib_alpha_modifier,de_sort_contrib_catalyst_bonus
CELC,Celcuity Inc.,1,1.02,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.980634,,0,0.957792,1,0.042208,115,0,specific_days,9,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,clinical_score:-42.2;smart_money_score:+35.8;financial_score:+9.6,tier=A;reason=high_opt+catalyst_near;cat_days=115;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_91_180|nonpos,0.00035902702702702704,,0.7157,0,1,-1.728,0.7157,6,6,buying,1.1627,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,115,False,specific_days,-0.041853,price_history,,6,0.4838,price_history,,-0.294076,,39.0246,,-0.138221,-0.155855,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,45.80,45.56250000000000000000000000,83.0,14.34,5,56.83720930232558139534883720,4.5598,-1.6536,3.0,1089,7,1.0,0.4622,0,1,0.0,0.3,0.95,oncology,-0.4815,uncrowded,1.0,279,0.00035902702702702704,0.019366,-2.067,13.53,0.149648,-1.0379,1.8e-05,0.0,0.0,0.0,0.0,1.8e-05,0.0
CGON,"CG Oncology, Inc.",2,0.87,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.487676,,0,0.944805,1,0.055195,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-44.5;smart_money_score:+33.3;financial_score:+19.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",late|none|nonpos,0.04561745918367347,,0.7178,0,1,-1.72,0.7178,6,6,buying,1.1627,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,6,,,series_too_short,,no_price_series,,0.7795,-0.138221,,late,mid,none,drug_developer,morningstar,,,drawdown,1,0.8569030382461575122125580841,50,41.25000000000000000000000000,83.0,10.00,5.183239115060209511061747378,69.11627906976744186046511628,4.07,-1.6743,3.0,1631,6,1.0,0.0684,0,0,0.0,0.3,0.95,oncology,0.6973,highly_crowded,1.0,139,0.04561745918367347,0.512324,0.0309,17.19,0.304577,-0.5113,0.002281,0.0,0.0,0.0,0.0,0.002281,0.0
COGT,"Cogent Biosciences, Inc.",3,1.02,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.501761,,0,0.931818,1,0.068182,,0,no_upcoming,9,tailwind,high_vol,L,sponsor_confirmed|momentum_tailwind|high_risk,smart_money_score:+45.8;financial_score:-33.8;clinical_score:-33.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 264444000.0, ""cash_total"": 312012000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.158551526977357, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.04561745918367347,,0.7214,0,1,-1.6855,0.7214,7,7,buying,1.5511,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,346.16,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.111165,price_history,,7,1.1229,price_history,,-0.272513,,55.4487,2.489,-0.138221,-0.134292,late,mid,sev1,drug_developer,morningstar,,,,0,0.8131084337349397590361445783,58.23,41.25000000000000000000000000,85,10.66,5.973818237050327272036870913,5.401111111111111111111111112,5.9106,-1.5966,3.0,816,5,1.0,0.0064,0,0,0.0,0.5,0.95,oncology,-0.4815,uncrowded,1.0,143,0.04561745918367347,0.498239,-0.0044,9.90,0.072183,-1.4597,0.002281,0.0,0.0,0.0,0.0,0.002281,0.0
NGNE,Neurogene Inc.,4,0.71,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.558099,,0,0.905844,1,0.094156,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-46.0;smart_money_score:+31.7;financial_score:+15.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 59744000.0, ""cash_total"": 265410000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 53.30945366898768, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|none|nonpos,0.04561745918367347,,0.7267,0,1,-1.6272,0.7267,8,8,buying,1.9396,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1586.17,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.07934,price_history,,8,-0.0379,price_history,,-0.368421,,60.3738,0.823,-0.138221,-0.2302,late,small,none,drug_developer,morningstar,,,,0,0.8335099569116105741236753232,64.09,41.25000000000000000000000000,85,70.96,7.310436157033619548037079757,68.73846153846153846153846154,6.0285,-1.5917,3.0,2339,6,1.0,0.0086,0,0,0.0,0.3,0.75,rare_disease,0.6973,highly_crowded,1.0,159,0.04561745918367347,0.441901,-0.1462,19.38,0.392606,-0.2725,0.002281,0.0,0.0,0.0,0.0,0.002281,0.0
LQDA,Liquidia Corporation,5,0.87,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.547535,,0,0.87987,1,0.12013,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+28.3;financial_score:-27.9;clinical_score:-25.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|nonpos,0.04561745918367347,,0.74,0,1,-1.4338,0.74,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.087198,price_history,,3,0.8894,price_history,,-0.221212,,42.3062,0.5778,-0.138221,-0.082991,late,mid,sev1,drug_developer,morningstar,,,,0,0.8688328621061459206900682880,58.38,41.25000000000000000000000000,65.5,18.75,11.74709632097816129598777298,9.307733910221741481882098432,9.9339,-1.4269,3.0,622,4,1.0,0.013,0,0,0.0,0.3,0.5,respiratory,0.6973,highly_crowded,1.0,156,0.04561745918367347,0.452465,-0.1194,11.21,0.096831,-1.2998,0.002281,0.0,0.0,0.0,0.0,0.002281,0.0
CRSP,CRISPR Therapeutics AG,6,1.02,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.512324,,0,0.86039,1,0.13961,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind,clinical_score:-38.5;financial_score:+28.0;smart_money_score:+14.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 345014000.0, ""cash_total"": 1975828000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 68.7216634687288, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",late|none|nonpos,0.04561745918367347,,0.7439,0,1,-1.3586,0.7439,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,316.61,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.090406,price_history,,3,1.6764,price_history,,-0.351038,,36.3696,0.5582,-0.138221,-0.212817,late,mid,none,drug_developer,morningstar,,,,0,0.8829993291806420699568758984,59.08,41.25000000000000000000000000,66.0,61.76,13.47349784745658127690679273,80.0,12.4224,-1.322,3.0,731,9,1.0,0.0786,0,0,0.0,0.3,0.95,oncology,0.2258,moderate,1.0,146,0.04561745918367347,0.487676,-0.0309,26.87,0.544014,0.1106,0.002281,0.0,0.0,0.0,0.0,0.002281,0.0
CNTA,Centessa Pharmaceuticals plc,7,0.87,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.498239,,0,0.964286,1,0.035714,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,momentum_score:+45.1;clinical_score:-38.4;financial_score:-38.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 138010000.0, ""cash_total"": 246214000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 21.408361712919355, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.04561745918367347,,0.6741,0,1,-1.728,0.6741,7,7,buying,1.5511,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.65,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.596573,price_history,,7,0.3426,price_history,,-0.108696,,60.6011,0.5724,-0.138221,0.029525,late,mid,sev1,drug_developer,morningstar,,,,0,0.8882339035400332620574958422,88.51,41.25000000000000000000000000,77.0,28.31,5,5.401111111111111111111111112,4.7369,-1.6461,3.0,,7,1.0,0.2107,1,0,0.0,0.4,0.95,oncology,0.6973,highly_crowded,1.0,142,0.04561745918367347,0.501761,0.0044,9.62,0.068662,-1.4858,0.002281,0.0,0.0,0.0,0.0,0.002281,0.0
ABEO,Abeona Therapeutics Inc.,8,0.71,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.434859,,0,0.847403,1,0.152597,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-37.1;momentum_score:+25.5;financial_score:+17.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 58373000.0, ""cash_total"": 207117000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.84982606281337, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|nonpos,0.04561745918367347,,0.7461,0,1,-1.3331,0.7461,2,2,neutral,-0.3912,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1317.16,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.366463,price_history,,2,0.6121,price_history,,-0.276106,,48.3287,,-0.138221,-0.137885,late,micro,none,drug_developer,morningstar,,,,0,0.8741792361966625601971105387,76.62,41.25000000000000000000000000,55.0,87.13,14.05655944294929300696313384,68.62745098039215686274509804,12.5934,-1.3147,3.0,816,9,1.0,0.0017,0,0,0.0,0.3,0.5,other,-1.6603,uncrowded,1.0,124,0.04561745918367347,0.565141,0.164,24.79,0.512324,0.0309,0.002281,0.0,0.0,0.0,0.0,0.002281,0.0
PRTA,Prothena Corporation plc,9,0.71,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.572183,,0,0.827922,1,0.172078,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-29.9;momentum_score:+17.3;financial_score:+9.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 140268000.0, ""cash_total"": 330843000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.303789887928822, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",late|none|nonpos,0.04561745918367347,,0.7488,0,1,-1.2298,0.7488,2,2,neutral,-0.3912,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1434.82,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.184906,price_history,,2,1.7994,price_history,,-0.178267,,39.8354,0.4848,-0.138221,-0.040046,late,small,none,drug_developer,morningstar,,,,0,0.8474842338662621075971525265,63.64,41.25000000000000000000000000,55.0,84.93,16.42677792491966527593850419,55.53846153846153846153846154,14.9792,-1.2141,3.0,635,9,1.0,0.0349,0,0,0.0,0.4,0.6,cns,0.6973,highly_crowded,1.0,163,0.04561745918367347,0.427817,-0.1819,19.18,0.382042,-0.3001,0.002281,0.0,0.0,0.0,0.0,0.002281,0.0
ZBIO,"Zenas BioPharma, Inc.",10,0.52,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.607394,,0,0.801948,1,0.198052,,0,no_upcoming,9,neutral,high_vol|drawdown_data_missing,M,sponsor_confirmed|high_risk,clinical_score:-26.6;smart_money_score:+21.1;financial_score:+5.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 119919000.0, ""cash_total"": 290884000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.10804793235434, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|nonpos,0.04561745918367347,,0.7544,0,1,-1.1238,0.7544,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,681.58,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,1.5048,-0.138221,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8089584306398879028491359178,50,41.25000000000000000000000000,66.5,37.13,18.85775176688927810291388402,50.46153846153846153846153846,17.4102,-1.1116,3.0,860,5,1.0,0.0543,0,0,0.0,0.4,0.6,autoimmune,0.6973,highly_crowded,1.0,173,0.04561745918367347,0.392606,-0.2725,15.86,0.241197,-0.7025,0.002281,0.0,0.0,0.0,0.0,0.002281,0.0
URGN,UroGen Pharma Ltd.,11,0.87,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.839789,,0,0.775974,1,0.224026,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|runway_short,financial_score:-31.1;smart_money_score:+28.7;momentum_score:+25.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 124119000.0, ""cash_total"": 153829000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.872404708384696, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",late|none|pos,0.0247995421686747,,0.7648,0,1,-0.9876,0.7648,4,4,buying,0.3857,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,785.74,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.230088,price_history,,4,0.5488,price_history,,-0.178446,,56.5987,0.7699,-0.138221,-0.040225,late,small,sev2,drug_developer,morningstar,,,,0,0.8225052705551651440618411806,68.97,41.25000000000000000000000000,72.0,73.90,21.98190629435022617132062217,12.15479289940828402366863906,20.8687,-0.9657,3.0,1670,13,1.0,0.0001,0,0,0.0,0.3,0.95,oncology,0.6973,highly_crowded,1.0,239,0.0247995421686747,0.160211,-0.9936,5.71,0.015845,-2.1483,0.30079,0.29955,0.0,0.0,0.0,0.00124,0.0
