ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,catalyst_days,catalyst_mode,mom_state,risk_flags,size_band,size_reasons,archetype,eligible,composite_rank,composite_score
PVLA,"Palvella Therapeutics, Inc.",1,5.22,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.278302,0.651099,37,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,89,0.1
IRON,"Disc Medicine, Inc.",2,5.22,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.187107,0.667582,98,specific_days,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,drug_developer,1,60,0.1
PRAX,"Praxis Precision Medicines, Inc",3,6.14,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.272013,0.673077,129,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,drug_developer,1,87,0.1
PHVS,Pharvaris N.V.,4,4.3,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.592767,0.717033,9,specific_days,neutral,,L,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,drug_developer,1,189,0.09254273684210526
RVMD,"Revolution Medicines, Inc.",5,6.14,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.29717,0.728022,97,specific_days,tailwind,overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,95,0.1
ALMS,Alumis Inc.,6,6.14,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.029874,0.739011,159,specific_days,tailwind,high_vol|high_beta|overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,drug_developer,1,10,0.1
CRVS,"Corvus Pharmaceuticals, Inc.",7,5.22,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.111635,0.744505,97,specific_days,tailwind,high_beta|overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,drug_developer,1,36,0.1
OCGN,"Ocugen, Inc.",8,2.58,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.589623,0.788462,25,specific_days,tailwind,,M,tier_a_dev|momentum_tailwind|runway_short|cost_haircut_<=2000bps,drug_developer,1,188,0.09254273684210526
CRSP,CRISPR Therapeutics AG,9,6.14,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.108491,0.771978,128,specific_days,headwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,drug_developer,1,35,0.1
ORKA,"Oruka Therapeutics, Inc.",10,5.22,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.794025,0.909341,129,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,253,0.0646411489361702
SION,"Sionna Therapeutics, Inc.",11,5.22,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.79717,0.92033,129,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,drug_developer,1,254,0.0646411489361702
DNTH,"Dianthus Therapeutics, Inc.",12,5.22,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.671384,0.942308,158,specific_days,tailwind,overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,214,0.0743638577586207
CNTA,Centessa Pharmaceuticals plc,13,5.22,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.665094,0.936813,97,specific_days,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,drug_developer,1,212,0.0743638577586207
CGON,"CG Oncology, Inc.",14,5.22,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.66195,0.898352,129,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,211,0.0743638577586207
IMVT,"Immunovant, Inc.",15,5.22,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.174528,0.782967,37,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,56,0.1
ARTV,"Artiva Biotherapeutics, Inc.",16,4.3,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.064465,0.760989,68,specific_days,neutral,,L,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,drug_developer,1,21,0.1
FDMT,"4D Molecular Therapeutics, Inc.",17,0.65,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.677673,0.914835,129,specific_days,headwind,high_beta|deep_drawdown|deep_drawdown_rel_xbi,XS,tier_a_dev|momentum_headwind|high_risk|cost_haircut_<=2000bps,drug_developer,1,216,0.0743638577586207
KOD,Kodiak Sciences Inc,18,5.22,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.441824,0.958791,8,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,141,0.09603160592255125
ERAS,"Erasca, Inc.",19,6.14,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.43239,0.876374,9,specific_days,tailwind,high_vol|overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,drug_developer,1,138,0.09603160592255125
VERA,"Vera Therapeutics, Inc.",20,5.22,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.33805,0.925824,51,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,108,0.1
