ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,clinical_alpha_z,clinical_score_z,clinical_score_z_tier,commercial_quality_pct,catalyst_days,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,decision_engine_version,decision_engine_ruleset_id,alpha_cohort_key,alpha_cohort_raw,missing_components,archetype,composite_rank,composite_score
ALMS,Alumis Inc.,1,6.51,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.020376,0.60929,0.5173,-0.4423,1.5523,,134,specific_days,3,tailwind,high_vol,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,v1.3.0,aa0aaf28,late|near_91_180|pos,0.1,,drug_developer,7,0.1
RNA,"Avidity Biosciences, Inc.",2,3.91,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.249216,0.620219,0.5165,-0.4755,1.4668,,165,specific_days,3,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|runway_short,v1.3.0,aa0aaf28,late|near_91_180|pos,0.1,,drug_developer,80,0.1
NMRA,"Neumora Therapeutics, Inc.",3,2.73,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.568966,0.625683,0.5164,-0.4976,1.4101,,12,specific_days,3,tailwind,,M,tier_a_dev|momentum_tailwind|runway_short|cost_haircut_<=2000bps,v1.3.0,aa0aaf28,late|near_0_30|pos,0.0925427368421052,,drug_developer,182,0.0925427368421052
PVLA,"Palvella Therapeutics, Inc.",4,5.53,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.575235,0.631148,0.5162,-0.5305,1.3255,,12,specific_days,3,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,v1.3.0,aa0aaf28,late|near_0_30|pos,0.0925427368421052,,drug_developer,184,0.0925427368421052
PRAX,"Praxis Precision Medicines, Inc",5,6.51,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.233542,0.647541,0.5154,-0.5632,1.2415,,104,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,v1.3.0,aa0aaf28,late|near_91_180|pos,0.1,,drug_developer,75,0.1
ZBIO,"Zenas BioPharma, Inc.",6,3.32,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.302508,0.653005,0.511,-0.5849,1.1858,,104,specific_days,3,headwind,high_vol|deep_drawdown|deep_drawdown_rel_xbi,M,tier_a_dev|sponsor_confirmed|momentum_headwind|high_risk,v1.3.0,aa0aaf28,late|near_91_180|pos,0.1,,drug_developer,97,0.1
SYRE,"Spyre Therapeutics, Inc.",7,5.53,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.65047,0.614754,-0.121,-0.4594,1.5083,,1,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,v1.3.0,aa0aaf28,mid|near_0_30|pos,0.0767978734177215,,drug_developer,208,0.0767978734177215
PHVS,Pharvaris N.V.,8,2.73,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.230408,0.674863,0.5084,-0.6708,0.9653,,43,specific_days,3,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,v1.3.0,aa0aaf28,late|near_31_90|pos,0.1,,drug_developer,74,0.1
KURA,"Kura Oncology, Inc.",9,5.53,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.180251,0.70765,0.5057,-0.7551,0.7488,,165,specific_days,3,headwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,v1.3.0,aa0aaf28,late|near_91_180|pos,0.1,,drug_developer,58,0.1
CLYM,"Climb Bio, Inc.",10,4.56,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.083072,0.724044,-0.6699,-0.8236,0.5727,,43,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,v1.3.0,aa0aaf28,mid|near_31_90|pos,0.1,,drug_developer,27,0.1
