ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
LQDA,Liquidia Corporation,1,0.93,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.724315,,0,0.817901,1,0.182099,120,0,specific_days,9,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,momentum_score:+32.7;financial_score:-32.6;clinical_score:-27.7,tier=A;reason=high_opt+catalyst_near;cat_days=120;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|near_91_180|nonpos,0.02584161904761905,,0.5999,0,1,-1.1756,0.5999,3,3,buying,-0.0344,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,120,False,specific_days,0.358859,price_history,,3,0.946,price_history,,-0.149432,,68.2481,0.5778,-0.110453,-0.038979,late,mid,sev1,drug_developer,morningstar,,,,0,0.8688101869606903163950143816,74.47,45.56250000000000000000000000,65.5,26.60,13.98558068911238078266712701,9.111111111111111111111111112,13.7378,-1.2727,3.0,48,4,1.0,1.5573,1,2,0.0,0.3,0.5,respiratory,0.6955,highly_crowded,1.0,212,0.02584161904761905,0.275685,-0.5957,9.67,0.07363,-1.4493
ACLX,"Arcellx, Inc.",2,1.09,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.796233,,0,0.935185,1,0.064815,242,0,specific_days,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,L,catalyst_far_lift|sponsor_confirmed|momentum_headwind,smart_money_score:+41.4;clinical_score:-33.6;financial_score:-22.1,tier=B;reason=high_opt+catalyst_far;cat_days=242;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 152083000.0, ""cash_total"": 461383000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 36.40509458650868, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 7}",late|near_181_270|nonpos,-0.010419444444444443,,0.5719,0,1,-1.5538,0.5719,7,7,buying,1.5112,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=400bps,207.9,1.0,0,0,1.0,0,1.0,0,242,False,specific_days,-0.126551,price_history,,7,1.246,price_history,,-0.360462,,43.7254,0.5575,-0.110453,-0.250009,late,mid,none,drug_developer,morningstar,,,,0,0.8816242164223572875700154928,45.74,45.56250000000000000000000000,80.0,10.00,5,16.45679012345679012345679013,3.95,-1.6876,3.0,1247,5,1.0,0.0378,0,0,0.0,0.3,0.95,oncology,0.6955,highly_crowded,1.0,233,-0.010419444444444443,0.203767,-0.8282,13.66,0.183219,-0.9032
MLTX,MoonLake Immunotherapeutics,3,0.93,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.135274,,0,0.916667,1,0.083333,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,clinical_score:-34.4;smart_money_score:+15.0;financial_score:+11.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 196007000.0, ""cash_total"": 334517000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 20.47990122801737, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 4}",late|none|nonpos,0.0946772676056338,,0.5785,0,1,-1.4879,0.5785,4,4,selling,0.352,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,513.23,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.046951,price_history,,4,0.9543,price_history,,-0.279831,,44.4024,,-0.110453,-0.169378,late,small,none,drug_developer,morningstar,,,,0,0.8277566717165831488171541778,49.04,41.25000000000000000000000000,56.0,42.63,6.565798315272069824510601016,52.13698630136986301369863014,6.4006,-1.5837,3.0,137,2,0.3333,1.011,0,2,0.0,0.4,0.5,dermatology,-0.4991,moderate,1.0,40,0.0946772676056338,0.864726,1.1018,13.59,0.179795,-0.9161
CNTA,Centessa Pharmaceuticals plc,4,0.93,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.087329,,0,0.953704,1,0.046296,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+37.6;clinical_score:-34.4;financial_score:-34.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 138010000.0, ""cash_total"": 246214000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 21.408361712919355, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.0946772676056338,,0.5389,0,1,-1.5538,0.5389,7,7,buying,1.5112,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.65,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.1497,price_history,,7,1.0523,price_history,,-0.093733,,54.2203,0.5724,-0.110453,0.01672,late,mid,sev1,drug_developer,morningstar,,,,0,0.8882339035400332620574958422,68.53,41.25000000000000000000000000,77.0,31.73,5,5,5.8848,-1.6056,3.0,24,8,1.0,1.7297,2,2,0.0,0.4,0.95,oncology,0.6955,highly_crowded,1.0,26,0.0946772676056338,0.912671,1.3574,12.91,0.159247,-0.9976
CGON,"CG Oncology, Inc.",5,0.56,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.083904,,0,0.873457,1,0.126543,,0,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,M,sponsor_confirmed|momentum_headwind,clinical_score:-38.2;smart_money_score:+35.9;financial_score:+11.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",late|none|nonpos,0.0946772676056338,,0.5857,0,1,-1.3869,0.5857,6,6,buying,1.1248,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.080139,price_history,,6,1.2413,price_history,,-0.372627,,48.7771,0.7795,-0.110453,-0.262174,late,mid,none,drug_developer,morningstar,,,,0,0.8570204003356106915977466139,43.52,41.25000000000000000000000000,83.0,14.42,8.964809307954752172734731457,59.00000000000000000000000000,7.9148,-1.5195,3.0,486,8,1.0,0.0431,0,0,0.0,0.3,0.95,oncology,0.6955,highly_crowded,1.0,25,0.0946772676056338,0.916096,1.3793,16.95,0.303082,-0.5156
COGT,"Cogent Biosciences, Inc.",6,1.09,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.090753,,0,0.861111,1,0.138889,,0,no_upcoming,9,tailwind,high_vol,L,sponsor_confirmed|momentum_tailwind|high_risk,smart_money_score:+45.6;financial_score:-33.1;clinical_score:-29.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 264444000.0, ""cash_total"": 312012000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.158551526977357, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.0946772676056338,,0.5862,0,1,-1.3457,0.5862,7,7,buying,1.5112,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,346.16,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.121772,price_history,,7,1.2619,price_history,,-0.243089,,61.07,2.489,-0.110453,-0.132636,late,mid,sev1,drug_developer,morningstar,,,,0,0.8131084337349397590361445783,54.47,41.25000000000000000000000000,85,13.78,9.945203648635103077282902869,6.345679012345679012345679012,10.3728,-1.4154,3.0,242,7,1.0,0.7835,0,1,0.0,0.5,0.95,oncology,0.6955,highly_crowded,1.0,27,0.0946772676056338,0.909247,1.3361,9.83,0.080479,-1.4019
AURA,"Aura Biosciences, Inc.",7,0.09,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.066781,,0,0.830247,1,0.169753,,0,no_upcoming,9,headwind,,XS,sponsor_confirmed|momentum_headwind|runway_short|cost_haircut_>2000bps,financial_score:-25.5;smart_money_score:+21.5;clinical_score:-17.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 64273000.0, ""cash_total"": 47553000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.878315933595756, ""stage_bucket"": ""late"", ""surv_score"": ""-2.0"", ""tier1_count"": 2}",late|none|nonpos,0.0946772676056338,,0.5949,0,1,-1.2189,0.5949,2,2,selling,-0.4208,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.162459,price_history,,2,0.9652,price_history,,-0.331346,,43.6796,0.5411,-0.110453,-0.220893,late,small,sev2,drug_developer,morningstar,,,,0,0.8794298861259586335115036021,41.53,41.25000000000000000000000000,52.0,71.47,12.95766647732968024324234020,5,12.6077,-1.3206,3.0,1018,7,1.0,0.0046,0,0,0.0,0.5,0.95,oncology,0.6955,highly_crowded,1.0,20,0.0946772676056338,0.933219,1.5002,3.87,0.005137,-2.5665
ABEO,Abeona Therapeutics Inc.,8,0.77,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.224315,,0,0.774691,1,0.225309,,0,no_upcoming,9,tailwind,deep_drawdown|deep_drawdown_rel_xbi,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-30.3;financial_score:+22.5;smart_money_score:+7.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 58373000.0, ""cash_total"": 207117000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.84982606281337, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|pos,0.07621351479289941,,0.6067,0,1,-1.0429,0.6067,2,2,neutral,-0.4208,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1317.16,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.049657,price_history,,2,0.9622,price_history,,-0.361751,,50.6066,,-0.110453,-0.251298,late,micro,none,drug_developer,morningstar,,,,0,0.8741862964621585311240483654,54.12,41.25000000000000000000000000,55.0,86.86,17.14060313111400685325641054,69.94219653179190751445086705,15.7406,-1.1879,3.0,242,9,1.0,0.2003,0,0,0.0,0.3,0.5,other,-1.6937,uncrowded,1.0,66,0.07621351479289941,0.775685,0.7577,26.84,0.563356,0.1595
SMMT,Summit Therapeutics Inc.,9,0.93,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.032534,,0,0.737654,1,0.262346,334,0,specific_days,9,tailwind,high_beta,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-29.5;momentum_score:+29.2;smart_money_score:+21.1,tier=B;reason=high_opt+catalyst_far;cat_days=334;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 322930000.0, ""cash_total"": 713448000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 26.511553587464775, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 5}",late|far_271_540|pos,0.1,,0.6138,0,1,-0.8823,0.6138,5,5,buying,0.7384,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=1000bps,484.44,0.85,1,0,1.0,0,1.0,0,334,False,specific_days,0.25291,price_history,,5,1.8168,price_history,,-0.326652,,54.3956,0.5984,-0.110453,-0.216199,late,large,none,drug_developer,morningstar,,,,0,0.8151449643947100712105798576,79.63,45.56250000000000000000000000,71.5,10.00,20.95659728022987737645761636,34.45714116000460348751304013,20.4414,-0.9886,3.0,334,11,1.0,0.1135,0,0,0.0,0.4,0.95,oncology,-0.4991,uncrowded,1.0,10,0.1,0.967466,1.8448,13.13,0.166096,-0.9697
RVMD,"Revolution Medicines, Inc.",10,1.09,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.02911,,0,0.725309,1,0.274691,304,0,specific_days,9,headwind,,L,catalyst_far_lift|sponsor_confirmed|momentum_headwind,smart_money_score:+29.3;clinical_score:-26.2;momentum_score:-4.0,tier=B;reason=high_opt+catalyst_far;cat_days=304;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 897741000.0, ""cash_total"": 2025679000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.077016645112565, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|far_271_540|pos,0.1,,0.6145,0,1,-0.8589,0.6145,8,8,buying,1.8976,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=400bps,174.63,1.0,0,0,1.0,0,1.0,0,304,False,specific_days,-0.152855,price_history,,8,1.0159,price_history,,-0.291254,,50.4557,0.4254,-0.110453,-0.180801,late,large,none,drug_developer,morningstar,,,,0,0.8847952375015584091759132278,43.70,45.56250000000000000000000000,77.0,10.00,21.51361926930773200277694246,50.65895953757225433526011561,20.4636,-0.9877,3.0,486,10,1.0,0.0523,0,0,0.0,0.3,0.95,oncology,0.6955,highly_crowded,1.0,9,0.1,0.97089,1.894,21.23,0.443493,-0.1421
ZBIO,"Zenas BioPharma, Inc.",11,0.28,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.398973,,0,0.719136,1,0.280864,,0,no_upcoming,9,headwind,high_vol|drawdown_data_missing,S,sponsor_confirmed|momentum_headwind|high_risk,smart_money_score:+27.9;clinical_score:-16.5;momentum_score:-16.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 119919000.0, ""cash_total"": 290884000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.10804793235434, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.07621351479289941,,0.6151,0,1,-0.8353,0.6151,3,3,buying,-0.0344,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,681.58,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.532376,price_history,,3,1.1411,price_history,,,series_too_short,44.8447,1.5048,-0.110453,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8089179366940211019929660023,22.52,41.25000000000000000000000000,66.5,43.27,22.07361125032948348127605704,40.59168908071141135505931903,21.1082,-0.9604,3.0,286,7,1.0,0.4226,0,0,0.0,0.4,0.6,autoimmune,-0.4991,uncrowded,1.0,117,0.07621351479289941,0.601027,0.256,16.86,0.296233,-0.5353
