ticker,issue_type,date,severity,status,fix,notes
ABVX,price_reverse_split,2025-07-23,MODERATE,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,1:7 on 2025-07-23. Raw prices in price_history.csv; adjusted in split_adj.csv
ACRS,price_forward_split,2023-11-13,MODERATE,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,7:1 on 2023-11-13. Raw prices in price_history.csv; adjusted in split_adj.csv
AKTX,price_reverse_split,2026-03-31,HIGH,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,1:40 on 2026-03-31. Raw prices in price_history.csv; adjusted in split_adj.csv
AMLX,price_forward_split,2024-03-08,MODERATE,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,6:1 on 2024-03-08. Raw prices in price_history.csv; adjusted in split_adj.csv
BIOA,price_forward_split,2024-12-09,MODERATE,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,4:1 on 2024-12-09. Raw prices in price_history.csv; adjusted in split_adj.csv
COGT,price_reverse_split,2020-07-06,MODERATE,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,1:5 on 2020-07-06. Raw prices in price_history.csv; adjusted in split_adj.csv
DFTX,price_reverse_split,2020-03-03,MODERATE,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,1:5 on 2020-03-03. Raw prices in price_history.csv; adjusted in split_adj.csv
DRUG,price_reverse_split,2024-10-15,HIGH,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,1:15 on 2024-10-15. Raw prices in price_history.csv; adjusted in split_adj.csv
FGEN,price_forward_split,2023-06-26,MODERATE,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,6:1 on 2023-06-26. Raw prices in price_history.csv; adjusted in split_adj.csv
GOSS,price_forward_split,2026-02-23,MODERATE,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,5:1 on 2026-02-23. Raw prices in price_history.csv; adjusted in split_adj.csv
IMMP,price_forward_split,2026-03-13,MODERATE,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,5:1 on 2026-03-13. Raw prices in price_history.csv; adjusted in split_adj.csv
INDV,price_reverse_split,2022-11-28,HIGH,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,1:7 on 2022-11-28. Raw prices in price_history.csv; adjusted in split_adj.csv
IVVD,price_forward_split,2021-12-14,MODERATE,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,5:1 on 2021-12-14. Raw prices in price_history.csv; adjusted in split_adj.csv
JBIO,price_forward_split,2025-04-29,HIGH,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,9:1 (2nd) on 2025-04-29. Raw prices in price_history.csv; adjusted in split_adj.csv
KALA,price_forward_split,2025-09-29,HIGH,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,9:1 on 2025-09-29. Raw prices in price_history.csv; adjusted in split_adj.csv
KOD,price_forward_split,2022-02-23,MODERATE,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,5:1 on 2022-02-23. Raw prices in price_history.csv; adjusted in split_adj.csv
LYRA,price_reverse_split,2025-06-02,HIGH,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,1:4 on 2025-06-02. Raw prices in price_history.csv; adjusted in split_adj.csv
MCRB,price_reverse_split,2020-08-10,MODERATE,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,1:5 on 2020-08-10. Raw prices in price_history.csv; adjusted in split_adj.csv
MENS,price_forward_split,2025-12-17,MODERATE,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,5:1 on 2025-12-17. Raw prices in price_history.csv; adjusted in split_adj.csv
MLTX,price_forward_split,2025-09-29,HIGH,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,10:1 on 2025-09-29. Raw prices in price_history.csv; adjusted in split_adj.csv
NMRA,price_forward_split,2025-01-02,MODERATE,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,5:1 on 2025-01-02. Raw prices in price_history.csv; adjusted in split_adj.csv
ORKA,price_reverse_split,2020-05-28,MODERATE,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,1:5 on 2020-05-28. Raw prices in price_history.csv; adjusted in split_adj.csv
PHVS,price_reverse_split,2022-12-08,MODERATE,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,1:5 on 2022-12-08. Raw prices in price_history.csv; adjusted in split_adj.csv
PRAX,price_forward_split,2022-06-06,MODERATE,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,5:1 on 2022-06-06. Raw prices in price_history.csv; adjusted in split_adj.csv
PRQR,price_forward_split,2022-02-11,MODERATE,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,4:1 on 2022-02-11. Raw prices in price_history.csv; adjusted in split_adj.csv
REPL,price_forward_split,2025-07-22,MODERATE,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,4:1 on 2025-07-22. Raw prices in price_history.csv; adjusted in split_adj.csv
RNA,price_forward_split,2026-02-27,MODERATE,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,5:1 on 2026-02-27. Raw prices in price_history.csv; adjusted in split_adj.csv
SRRK,price_reverse_split,2024-10-07,MODERATE,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,1:5 on 2024-10-07. Raw prices in price_history.csv; adjusted in split_adj.csv
SYRE,price_reverse_split,2023-06-22,MODERATE,MITIGATED,run_screen truncates pre-split history; split_adj.csv regenerated,1:4 on 2023-06-22. Raw prices in price_history.csv; adjusted in split_adj.csv
