ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,de_sort_total_adj,de_sort_contrib_clinical,de_sort_contrib_coinvest,de_sort_contrib_institutional,de_sort_contrib_calendar_alpha,de_sort_contrib_alpha_modifier,de_sort_contrib_catalyst_bonus
CELC,Celcuity Inc.,1,1.04,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.980702,,0,0.951613,1,0.048387,94,0,specific_days,9,neutral,,L,tier_a_dev|sponsor_confirmed,clinical_score:-43.4;smart_money_score:+34.6;financial_score:+8.4,tier=A;reason=high_opt+catalyst_near;cat_days=94;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_91_180|nonpos,0.00035902702702702704,,0.7109,0,1,-1.7112,0.7109,6,6,buying,1.1662,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,94,False,specific_days,0.038959,price_history,,6,0.4636,price_history,,-0.286224,,45.0326,,-0.11683,-0.169394,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,51.68,45.56250000000000000000000000,83.0,14.23,5,56.83720930232558139534883720,4.6715,-1.6498,3.0,1068,7,1.0,0.5505,0,1,0.0,0.3,0.95,oncology,-0.4844,uncrowded,1.0,280,0.00035902702702702704,0.019298,-2.0685,13.57,0.142105,-1.0709,1.8e-05,0.0,0.0,0.0,0.0,1.8e-05,0.0
URGN,UroGen Pharma Ltd.,2,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.847368,,0,0.770968,1,0.229032,,0,no_upcoming,9,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind|runway_short,momentum_score:+47.8;financial_score:-36.6;clinical_score:-26.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 124119000.0, ""cash_total"": 153829000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.872404708384696, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",late|none|pos,0.0247995421686747,,0.7599,0,1,-0.9832,0.7599,4,4,buying,0.3887,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,785.74,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.77633,price_history,,4,-0.8805,price_history,,0.0,,84.1328,0.7699,-0.11683,0.11683,late,small,sev2,drug_developer,morningstar,,,,0,0.8225052705551651440618411806,96.55,41.25000000000000000000000000,72.0,71.90,21.82961338805494649650493807,12.15479289940828402366863906,20.7165,-0.9725,3.0,1649,13,1.0,0.0001,0,0,0.0,0.3,0.95,oncology,0.6955,highly_crowded,1.0,242,0.0247995421686747,0.152632,-1.0252,4.40,0.008772,-2.3751,0.63664,0.6354,0.0,0.0,0.0,0.00124,0.0
ZBIO,"Zenas BioPharma, Inc.",3,0.53,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.857895,,0,0.796774,1,0.203226,,0,no_upcoming,9,neutral,high_vol|drawdown_data_missing,M,sponsor_confirmed|high_risk,clinical_score:-26.7;smart_money_score:+21.1;financial_score:+5.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 119919000.0, ""cash_total"": 290884000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.10804793235434, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.0247995421686747,,0.7495,0,1,-1.1173,0.7495,3,3,buying,0.0,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,681.58,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,1.5048,-0.11683,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8089584306398879028491359178,50,41.25000000000000000000000000,66.5,36.86,18.72997132737392477652217912,50.46153846153846153846153846,17.2774,-1.1177,3.0,839,5,1.0,0.0647,0,0,0.0,0.4,0.6,autoimmune,0.6955,highly_crowded,1.0,245,0.0247995421686747,0.142105,-1.0709,15.84,0.236842,-0.7165,0.19834,0.1971,0.0,0.0,0.0,0.00124,0.0
SVRA,"Savara, Inc.",4,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.836842,,0,0.751613,1,0.248387,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,momentum_score:+39.6;financial_score:-28.2;clinical_score:-23.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.0247995421686747,,0.7633,0,1,-0.8451,0.7633,3,3,buying,0.0,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.771784,price_history,,3,0.4692,price_history,,-0.014368,,60.8855,0.6811,-0.11683,0.102462,late,small,sev1,drug_developer,morningstar,,,,0,0.8537484194564329872856642949,87.63,41.25000000000000000000000000,66.5,58.03,25.02295684113865932047750229,19.88444444444444444444444444,23.9794,-0.8348,3.0,125,9,1.0,0.5293,0,1,0.0,0.4,0.5,respiratory,0.6955,highly_crowded,1.0,239,0.0247995421686747,0.163158,-0.9816,12.11,0.107018,-1.2425,1.08814,1.0869,0.0,0.0,0.0,0.00124,0.0
DNLI,Denali Therapeutics Inc.,5,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.72807,,0,0.667742,1,0.332258,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,financial_score:+26.5;clinical_score:-18.9;catalyst_score:-12.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 314062000.0, ""cash_total"": 848204000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 32.40904025319841, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.0247995421686747,,0.7768,0,1,-0.4368,0.7768,3,3,buying,0.0,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.31,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.069057,price_history,,3,1.535,price_history,,-0.273813,,39.4372,0.5691,-0.11683,-0.156983,late,mid,none,drug_developer,morningstar,,,,0,0.8798122047716101186908044599,50.88,41.25000000000000000000000000,60.5,46.35,34.46280991735537190082644628,79.86046511627906976744186046,33.3602,-0.4388,3.0,943,11,1.0,0.0406,0,0,0.0,0.4,0.6,cns,-0.4844,uncrowded,1.0,208,0.0247995421686747,0.27193,-0.607,33.93,0.678947,0.4648,2.42299,2.42175,0.0,0.0,0.0,0.00124,0.0
CLDX,"Celldex Therapeutics, Inc.",6,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.721053,,0,0.680645,1,0.319355,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,clinical_score:-19.5;smart_money_score:+18.3;financial_score:+16.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.0247995421686747,,0.7767,0,1,-0.467,0.7767,4,4,buying,0.3887,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.081142,price_history,,4,0.8525,price_history,,-0.268396,,43.3685,0.4801,-0.11683,-0.151566,late,small,none,drug_developer,morningstar,,,,0,0.8764550731367541211980496866,49.90,41.25000000000000000000000000,71.5,64.60,33.76417233560090702947845804,69.75384615384615384615384615,35.1116,-0.3649,3.0,,57,1.0,1.4348,2,2,0.0,0.4,0.95,oncology,-0.4844,uncrowded,1.0,206,0.0247995421686747,0.278947,-0.586,28.60,0.566667,0.1679,2.32429,2.32305,0.0,0.0,0.0,0.00124,0.0
CRNX,"Crinetics Pharmaceuticals, Inc.",7,0.53,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.724561,,0,0.712903,1,0.287097,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,financial_score:+26.3;clinical_score:-24.0;smart_money_score:+17.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 285021000.0, ""cash_total"": 1092291000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 45.98781142442136, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",late|none|pos,0.0247995421686747,,0.7711,0,1,-0.6449,0.7711,5,5,buying,0.7775,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,459.18,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.139283,price_history,,5,0.7821,price_history,,-0.203814,,43.9587,0.6688,-0.11683,-0.086984,late,mid,none,drug_developer,morningstar,,,,0,0.8739267504488330341113105925,45.96,41.25000000000000000000000000,71.5,27.37,29.65105601469237832874196510,80.0,29.6163,-0.5969,3.0,176,7,1.0,0.5038,0,1,0.0,0.5,0.95,oncology,0.6955,highly_crowded,1.0,207,0.0247995421686747,0.275439,-0.5964,25.48,0.531579,0.0792,1.74259,1.74135,0.0,0.0,0.0,0.00124,0.0
PRTA,Prothena Corporation plc,8,0.43,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.570175,,0,0.822581,1,0.177419,,0,no_upcoming,9,tailwind,high_beta,M,sponsor_confirmed|momentum_tailwind|high_risk|cost_haircut_<=2000bps,clinical_score:-28.1;financial_score:+11.1;smart_money_score:+10.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 140268000.0, ""cash_total"": 330843000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.303789887928822, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",late|none|nonpos,0.04561745918367347,,0.7438,0,1,-1.2217,0.7438,2,2,neutral,-0.3887,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1434.82,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.170521,price_history,,2,1.9472,price_history,,-0.151292,,49.2259,0.4848,-0.11683,-0.034462,late,small,none,drug_developer,morningstar,,,,0,0.8475046085637615214094038035,54.03,41.25000000000000000000000000,55.0,84.31,16.31772268135904499540863177,55.53846153846153846153846154,14.8651,-1.2195,3.0,614,9,1.0,0.0415,0,0,0.0,0.4,0.6,cns,0.6955,highly_crowded,1.0,163,0.04561745918367347,0.429825,-0.1768,19.20,0.380702,-0.3036,0.002281,0.0,0.0,0.0,0.0,0.002281,0.0
LQDA,Liquidia Corporation,9,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.545614,,0,0.874194,1,0.125806,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+28.6;financial_score:-27.6;clinical_score:-25.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|nonpos,0.04561745918367347,,0.735,0,1,-1.4226,0.735,3,3,buying,0.0,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.118717,price_history,,3,1.01,price_history,,-0.216162,,48.6955,0.5778,-0.11683,-0.099332,late,mid,sev1,drug_developer,morningstar,,,,0,0.8688328621061459206900682880,56.57,41.25000000000000000000000000,65.5,18.61,11.67313206274245235284196324,9.307733910221741481882098432,9.86,-1.4308,3.0,601,4,1.0,0.0155,0,0,0.0,0.3,0.5,respiratory,0.6955,highly_crowded,1.0,156,0.04561745918367347,0.454386,-0.1146,11.24,0.096491,-1.3018,0.002281,0.0,0.0,0.0,0.0,0.002281,0.0
CRSP,CRISPR Therapeutics AG,10,1.04,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.507018,,0,0.854839,1,0.145161,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-38.3;financial_score:+28.3;smart_money_score:+14.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 345014000.0, ""cash_total"": 1975828000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 68.7216634687288, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",late|none|nonpos,0.04561745918367347,,0.739,0,1,-1.3484,0.739,3,3,buying,0.0,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,316.61,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.111479,price_history,,3,1.4157,price_history,,-0.301106,,48.9164,0.5582,-0.11683,-0.184276,late,mid,none,drug_developer,morningstar,,,,0,0.8829993291806420699568758984,57.67,41.25000000000000000000000000,66.0,61.70,13.38674312700286726260752235,80.0,12.3369,-1.3262,3.0,710,9,1.0,0.0936,0,0,0.0,0.3,0.95,oncology,0.2236,moderate,1.0,145,0.04561745918367347,0.492982,-0.0176,26.85,0.549123,0.1234,0.002281,0.0,0.0,0.0,0.0,0.002281,0.0
COGT,"Cogent Biosciences, Inc.",11,0.62,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.496491,,0,0.925806,1,0.074194,,0,no_upcoming,9,neutral,high_vol,M,sponsor_confirmed|high_risk,smart_money_score:+46.9;financial_score:-32.7;clinical_score:-32.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 264444000.0, ""cash_total"": 312012000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.158551526977357, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.04561745918367347,,0.7165,0,1,-1.6705,0.7165,7,7,buying,1.5549,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,346.16,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.135644,price_history,,7,0.9116,price_history,,-0.251913,,57.5483,2.489,-0.11683,-0.135083,late,mid,sev1,drug_developer,morningstar,,,,0,0.8131084337349397590361445783,52.97,41.25000000000000000000000000,85,10.58,5.941136785292629448473604315,5.401111111111111111111111112,5.878,-1.5988,3.0,795,5,1.0,0.0076,0,0,0.0,0.5,0.95,oncology,-0.4844,uncrowded,1.0,142,0.04561745918367347,0.503509,0.0088,9.91,0.068421,-1.4877,0.002281,0.0,0.0,0.0,0.0,0.002281,0.0
