ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,de_sort_total_adj,de_sort_contrib_clinical,de_sort_contrib_coinvest,de_sort_contrib_institutional,de_sort_contrib_calendar_alpha,de_sort_contrib_alpha_modifier,de_sort_contrib_catalyst_bonus
LQDA,Liquidia Corporation,1,1.06,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.749147,,0,0.800613,1,0.199387,64,0,specific_days,9,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,momentum_score:+35.1;financial_score:-33.7;clinical_score:-27.4,tier=A;reason=high_opt+catalyst_near;cat_days=64;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|near_31_90|pos,0.004868357142857142,,0.5759,0,1,-1.1186,1.0,3,3,buying,-0.0303,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,64,False,specific_days,0.38742,price_history,,3,1.2518,price_history,,-0.086562,,51.0104,0.5778,-0.189791,0.103229,late,mid,sev1,drug_developer,morningstar,,,,0,0.8688101869606903163950143816,77.53,45.44587777777777777777777778,65.5,64.15,15.10766036835977500035068524,8.793085716546022704798069692,14.3809,-1.2451,3.0,64,4,1.0,0.88,1,1,0.0,0.3,0.5,respiratory,0.6858,highly_crowded,1.0,220,0.004868357142857142,0.250853,-0.6718,9.91,0.080205,-1.4037,1.500243,1.5,0.0,0.0,0.0,0.000243,0.0
REPL,"Replimune Group, Inc.",2,1.06,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.6843,,0,0.849693,1,0.150307,157,0,specific_days,9,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,clinical_score:-28.0;smart_money_score:+14.4;momentum_score:+7.3,tier=A;reason=high_opt+catalyst_mid;cat_days=157;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 224183000.0, ""cash_total"": 269137000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.12718492467587, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 5}",late|near_91_180|nonpos,0.03476938888888889,,0.0813,40,1,-1.3075,-1.0,5,5,selling,0.7419,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=1000bps,964.73,0.85,1,0,1.0,0,1.0,0,157,False,specific_days,-0.067853,price_history,,5,1.4665,price_history,,-0.304086,,32.8686,0.5897,-0.189791,-0.114295,late,small,sev1,drug_developer,morningstar,,,,0,0.8335079753172662708115030853,45.96,45.56250000000000000000000000,53.0,46.94,10.64357755053374293369243501,38.07456790123456790123456790,11.2524,-1.3781,3.0,1375,14,1.0,0.8257,1,2,0.0,0.5,0.95,oncology,0.6858,highly_crowded,1.0,201,0.03476938888888889,0.3157,-0.4798,11.70,0.110922,-1.2216,0.001738,0.0,0.0,0.0,0.0,0.001738,0.0
PVLA,"Palvella Therapeutics, Inc.",3,1.06,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.370307,,0,0.604294,1,0.395706,,0,no_upcoming,9,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind,momentum_score:+43.6;financial_score:-30.2;clinical_score:-20.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 20080000.0, ""cash_total"": 63567000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 37.98824701195219, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.06958397674418605,,0.6086,0,1,-0.3944,1.625,4,4,buying,0.3558,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,491.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,1.377522,price_history,,4,0.5876,price_history,,-0.031034,,70.3152,,-0.189791,0.158757,late,small,none,drug_developer,morningstar,,,,0,0.8521463044998834227092562369,96.55,41.25000000000000000000000000,72.0,70.31,32.22334441498688437206301112,22.71261234567901234567901235,31.4158,-0.521,3.0,279,6,1.0,0.2733,0,0,0.0,0.7,0.5,other,-3.5944,uncrowded,1.0,109,0.06958397674418605,0.629693,0.331,19.32,0.401024,-0.2507,2.440979,2.4375,0.0,0.0,0.0,0.003479,0.0
KALV,"KalVista Pharmaceuticals, Inc.",4,1.06,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.33959,,0,0.628834,1,0.371166,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,momentum_score:+27.9;financial_score:-17.2;clinical_score:-15.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 126985000.0, ""cash_total"": 243497000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.010308304130408, ""stage_bucket"": ""late"", ""surv_score"": ""1.0"", ""tier1_count"": 2}",late|none|pos,0.06958397674418605,,0.6062,0,1,-0.4695,1.4449,2,2,selling,-0.4164,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,753.69,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.494649,price_history,,2,1.1917,price_history,,-0.224821,,54.4873,0.6376,-0.189791,-0.03503,late,small,sev1,drug_developer,morningstar,,,,0,0.8797695576251455180442374854,73.56,41.25000000000000000000000000,54.5,74.31,30.44915765405602547377575782,28.39271111111111111111111111,28.7853,-0.6328,3.0,293,5,1.0,0.196,0,0,0.0,0.4,0.55,ophthalmology,0.6858,highly_crowded,1.0,100,0.06958397674418605,0.66041,0.4136,20.12,0.431741,-0.1719,2.170829,2.16735,0.0,0.0,0.0,0.003479,0.0
URGN,UroGen Pharma Ltd.,5,1.06,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.046075,,0,0.641104,1,0.358896,1040,0,specific_days,9,tailwind,deep_drawdown,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind|runway_short,financial_score:-33.6;smart_money_score:+29.1;momentum_score:+14.9,tier=B;reason=high_opt+catalyst_far;cat_days=1040;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 124119000.0, ""cash_total"": 153829000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.872404708384696, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",late|far_271_540|pos,0.09766431818181819,,0.6042,0,1,-0.4942,1.3854,4,4,buying,0.3558,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,short,<=1000bps,785.74,0.85,1,0,1.0,0,1.0,0,1040,False,specific_days,0.126678,price_history,,4,1.0167,price_history,,-0.416667,,53.1951,0.7699,-0.189791,-0.226876,late,small,sev2,drug_developer,morningstar,,,,0,0.8225032197634937360964758225,57.82,45.56250000000000000000000000,72.0,84.03,29.86337303090238325688395124,9.280177777777777777777777778,28.8695,-0.6292,3.0,167,14,1.0,0.4112,0,1,0.0,0.3,0.95,oncology,0.6858,highly_crowded,1.0,14,0.09766431818181819,0.953925,1.6842,6.89,0.035836,-1.8012,2.082983,2.0781,0.0,0.0,0.0,0.004883,0.0
RNA,"Avidity Biosciences, Inc.",6,1.25,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.032423,,0,0.671779,1,0.328221,1100,0,specific_days,9,neutral,deep_drawdown,L,catalyst_far_lift|sponsor_confirmed|runway_short,smart_money_score:+42.0;financial_score:-38.0;clinical_score:-16.0,tier=B;reason=high_opt+catalyst_far;cat_days=1100;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 650441000.0, ""cash_total"": 382517000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 7.0570643609489565, ""stage_bucket"": ""late"", ""surv_score"": ""-2.0"", ""tier1_count"": 11}",late|far_271_540|pos,0.09766431818181819,,0.6018,0,1,-0.6164,1.0922,11,11,buying,3.0587,elite_11,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,short,<=400bps,298.2,1.0,0,0,1.0,0,1.0,0,1100,False,specific_days,0.181427,price_history,,11,1.6141,price_history,,-0.398095,,50.3129,0.7513,-0.189791,-0.208304,late,mid,sev2,drug_developer,morningstar,,,,0,0.8751714981584887727218724011,52.26,45.56250000000000000000000000,85,67.26,26.97653214380900279145450210,5,26.2008,-0.7427,3.0,491,5,1.0,0.2908,0,1,0.0,0.4,0.75,rare_disease,-0.5032,uncrowded,1.0,10,0.09766431818181819,0.967577,1.8463,11.12,0.100683,-1.2777,1.643183,1.6383,0.0,0.0,0.0,0.004883,0.0
SMMT,Summit Therapeutics Inc.,7,1.06,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.035836,,0,0.690184,1,0.309816,278,0,specific_days,9,tailwind,high_beta|deep_drawdown,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind|high_risk,smart_money_score:+23.7;clinical_score:-22.5;momentum_score:+14.9,tier=B;reason=high_opt+catalyst_far;cat_days=278;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 322930000.0, ""cash_total"": 713448000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 26.511553587464775, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 5}",late|far_271_540|pos,0.09766431818181819,,0.5976,0,1,-0.6883,0.9197,5,5,buying,0.7419,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=1000bps,484.44,0.85,1,0,1.0,0,1.0,0,278,False,specific_days,0.292043,price_history,,5,2.56,price_history,,-0.363608,,52.1671,0.5984,-0.189791,-0.173817,late,large,none,drug_developer,morningstar,,,,0,0.8151449643947100712105798576,62.66,45.56250000000000000000000000,71.5,20.23,25.27809339449283900742049966,33.87186312053753033427316978,24.323,-0.8225,3.0,278,14,1.0,0.2525,0,0,0.0,0.4,0.95,oncology,0.6858,highly_crowded,1.0,11,0.09766431818181819,0.964164,1.8012,15.97,0.24744,-0.6826,1.384433,1.37955,0.0,0.0,0.0,0.004883,0.0
RVMD,"Revolution Medicines, Inc.",8,1.25,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.773038,,0,0.714724,1,0.285276,248,0,specific_days,9,headwind,deep_drawdown,L,catalyst_far_lift|sponsor_confirmed|momentum_headwind,smart_money_score:+29.0;clinical_score:-25.5;momentum_score:-3.2,tier=B;reason=high_opt+catalyst_far;cat_days=248;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 897741000.0, ""cash_total"": 2025679000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.077016645112565, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|near_181_270|pos,0.003084,,0.5905,0,1,-0.8057,0.638,8,8,buying,1.9003,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=400bps,174.63,1.0,0,0,1.0,0,1.0,0,248,False,specific_days,-0.061731,price_history,,8,1.1977,price_history,,-0.383663,,40.3152,0.4254,-0.189791,-0.193872,late,large,none,drug_developer,morningstar,,,,0,0.8847952375015584091759132278,44.85,45.56250000000000000000000000,77.0,57.22,22.50347178386567352606994066,50.08426966292134831460674157,21.3125,-0.9505,3.0,430,12,1.0,0.0839,0,0,0.0,0.3,0.95,oncology,0.6858,highly_crowded,1.0,227,0.003084,0.226962,-0.7489,21.39,0.46587,-0.0857,0.957154,0.957,0.0,0.0,0.0,0.000154,0.0
ABEO,Abeona Therapeutics Inc.,9,0.26,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.240614,,0,0.751534,1,0.248466,,0,no_upcoming,9,headwind,deep_drawdown,S,sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,clinical_score:-27.5;financial_score:+23.7;smart_money_score:+8.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 58373000.0, ""cash_total"": 207117000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.84982606281337, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|pos,0.06958397674418605,,0.5828,0,1,-0.9651,0.2554,2,2,neutral,-0.4164,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1317.16,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.037428,price_history,,2,1.2562,price_history,,-0.382609,,38.5909,,-0.189791,-0.192818,late,micro,none,drug_developer,morningstar,,,,0,0.8741862964621585311240483654,46.26,41.25000000000000000000000000,55.0,67.86,18.73683176927716758546199274,69.88764044943820224719101123,17.284,-1.1217,3.0,186,9,1.0,0.3194,0,0,0.0,0.3,0.5,other,-1.6921,uncrowded,1.0,71,0.06958397674418605,0.759386,0.7043,27.38,0.571672,0.1806,0.386579,0.3831,0.0,0.0,0.0,0.003479,0.0
ELDN,"Eledon Pharmaceuticals, Inc.",10,0.41,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.848123,,0,0.757669,1,0.242331,430,0,specific_days,9,neutral,deep_drawdown,M,catalyst_far_lift|cost_haircut_>2000bps,clinical_score:-21.1;smart_money_score:+12.7;momentum_score:+12.6,tier=B;reason=high_opt+catalyst_far;cat_days=430;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 48250000.0, ""cash_total"": 93401000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.229264248704663, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 1}",mid|far_271_540|pos,-0.04502669565217391,,0.0224,0,1,-0.9663,0.2524,1,1,neutral,-0.8026,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,430,False,specific_days,-0.101035,price_history,,1,1.4714,price_history,,-0.367925,,33.224,,-0.189791,-0.178134,mid,micro,sev1,drug_developer,morningstar,,,,0,0.7592904001749398644216050733,52.38,45.56250000000000000000000000,52.5,56.57,18.70693406115264427831177564,29.91851588149202958743720580,17.2045,-1.1251,2.0,167,6,1.0,0.2776,0,1,0.0,0.3,0.55,metabolic,-0.5032,uncrowded,1.0,249,-0.04502669565217391,0.151877,-1.0284,18.54,0.363481,-0.3492,0.250149,0.2524,0.0,0.0,0.0,-0.002251,0.0
DNTH,"Dianthus Therapeutics, Inc.",11,0.32,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.127986,,0,0.953988,1,0.046012,,0,no_upcoming,9,headwind,high_beta,S,sponsor_confirmed|momentum_headwind|high_risk,clinical_score:-42.6;smart_money_score:+37.4;financial_score:+13.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 82077000.0, ""cash_total"": 402613000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 58.86370115866808, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|none|nonpos,0.08036317367458867,,-0.4649,122,1,-1.5464,-1.1396,8,8,buying,1.9003,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,501.02,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.045963,price_history,,8,1.9042,price_history,,-0.346732,,44.3604,,-0.189791,-0.156941,late,mid,none,drug_developer,morningstar,,,,0,0.8412233086301697346402103753,45.62,41.25000000000000000000000000,85,57.22,5,61.37735849056603773584905660,3.5005,-1.7077,3.0,1374,3,0.6667,0.3836,0,1,0.0,0.4,0.6,autoimmune,0.6858,highly_crowded,1.0,38,0.08036317367458867,0.872014,1.136,19.96,0.424915,-0.1893,0.004018,0.0,0.0,0.0,0.0,0.004018,0.0
